[01],[5a],[00],[00],[4f],[21],[e4],[58],23:07:12:34:47:985
[02],[5b],[00],[00],[39],[46],[d1],[4a],23:07:12:34:48:07
[03],[5b],[00],[00],[43],[35],[d9],[54],23:07:12:34:48:54
[01],[5a],[00],[00],[62],[1a],[de],[43],23:07:12:34:48:85
[02],[5b],[00],[00],[3b],[45],[d2],[4b],23:07:12:34:48:116
[03],[5b],[00],[01],[43],[35],[d9],[54],23:07:12:34:48:147
[01],[5a],[00],[01],[62],[1a],[de],[43],23:07:12:34:48:185
[02],[5c],[00],[01],[3b],[45],[d2],[4b],23:07:12:34:48:216
[01],[5b],[00],[02],[62],[1a],[de],[43],23:07:12:34:48:285
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:48:316
[02],[5b],[00],[02],[3b],[45],[d2],[4b],23:07:12:34:48:316
[03],[5a],[00],[03],[43],[35],[da],[55],23:07:12:34:48:348
[01],[5a],[00],[03],[62],[1a],[de],[43],23:07:12:34:48:387
[02],[5b],[00],[03],[3b],[45],[d2],[4b],23:07:12:34:48:420
[03],[5b],[00],[04],[43],[35],[da],[55],23:07:12:34:48:446
[01],[5a],[00],[04],[62],[1a],[de],[43],23:07:12:34:48:486
[02],[5b],[00],[04],[3b],[45],[d1],[4b],23:07:12:34:48:511
[03],[5b],[00],[05],[43],[35],[da],[55],23:07:12:34:48:553
[01],[5a],[00],[05],[63],[19],[df],[43],23:07:12:34:48:586
[02],[5b],[00],[05],[3b],[44],[d1],[4b],23:07:12:34:48:607
[03],[5b],[00],[06],[43],[35],[da],[55],23:07:12:34:48:639
[01],[5a],[00],[06],[63],[19],[df],[43],23:07:12:34:48:686
[02],[5b],[00],[06],[3a],[44],[d2],[4b],23:07:12:34:48:717
[03],[5a],[00],[07],[43],[35],[da],[55],23:07:12:34:48:748
[01],[5b],[00],[07],[63],[19],[e0],[43],23:07:12:34:48:786
[02],[5b],[00],[07],[3a],[44],[d1],[4b],23:07:12:34:48:818
[03],[5b],[00],[08],[43],[35],[da],[55],23:07:12:34:48:849
[01],[5b],[00],[08],[63],[19],[e0],[43],23:07:12:34:48:886
[02],[5b],[00],[08],[3a],[44],[d2],[4b],23:07:12:34:48:918
[03],[5b],[00],[09],[43],[35],[da],[55],23:07:12:34:48:949
[01],[5b],[00],[09],[62],[1a],[e0],[43],23:07:12:34:48:986
[02],[5b],[00],[09],[3a],[44],[d2],[4b],23:07:12:34:49:19
[03],[5b],[00],[0a],[43],[35],[da],[55],23:07:12:34:49:51
[01],[5a],[00],[0a],[62],[1a],[df],[43],23:07:12:34:49:87
[02],[5b],[00],[0a],[3b],[44],[d2],[4b],23:07:12:34:49:118
[03],[5b],[00],[0b],[43],[35],[da],[55],23:07:12:34:49:149
[01],[5a],[00],[0b],[62],[1a],[df],[43],23:07:12:34:49:187
[02],[5b],[00],[0b],[3b],[44],[d2],[4b],23:07:12:34:49:218
[03],[5b],[00],[0c],[43],[35],[db],[55],23:07:12:34:49:249
[01],[5b],[00],[0c],[62],[1b],[e0],[43],23:07:12:34:49:287
[02],[5c],[00],[0c],[3b],[44],[d2],[4b],23:07:12:34:49:318
[03],[5b],[00],[0d],[42],[35],[db],[55],23:07:12:34:49:349
[01],[5a],[00],[0d],[62],[1b],[e0],[44],23:07:12:34:49:387
[02],[5b],[00],[0d],[3b],[44],[d2],[4b],23:07:12:34:49:418
[03],[5b],[00],[0e],[42],[35],[db],[55],23:07:12:34:49:449
[01],[5a],[00],[0e],[62],[1b],[e0],[44],23:07:12:34:49:487
[02],[5c],[00],[0e],[3b],[44],[d2],[4b],23:07:12:34:49:518
[01],[5a],[00],[0f],[62],[1b],[e0],[44],23:07:12:34:49:587
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:49:603
[02],[5c],[00],[0f],[3b],[44],[d2],[4b],23:07:12:34:49:618
[03],[5b],[00],[10],[42],[36],[db],[55],23:07:12:34:49:650
[01],[5a],[00],[10],[62],[1b],[e0],[44],23:07:12:34:49:687
[02],[5b],[00],[10],[3b],[44],[d2],[4b],23:07:12:34:49:718
[03],[5b],[00],[11],[42],[36],[da],[55],23:07:12:34:49:750
[01],[5a],[00],[11],[61],[1b],[df],[44],23:07:12:34:49:787
[02],[5b],[00],[11],[3b],[44],[d2],[4b],23:07:12:34:49:818
[03],[5b],[00],[12],[42],[36],[da],[55],23:07:12:34:49:850
[01],[5b],[00],[12],[61],[1b],[df],[44],23:07:12:34:49:887
[02],[5b],[00],[12],[3b],[45],[d1],[4b],23:07:12:34:49:919
[03],[5a],[00],[13],[42],[36],[db],[55],23:07:12:34:49:950
[01],[5a],[00],[13],[61],[1b],[df],[44],23:07:12:34:49:982
[02],[5b],[00],[13],[3a],[45],[d1],[4b],23:07:12:34:50:19
[03],[5b],[00],[14],[42],[36],[db],[55],23:07:12:34:50:50
[01],[5a],[00],[14],[61],[1c],[df],[44],23:07:12:34:50:81
[02],[5b],[00],[14],[3a],[45],[d1],[4b],23:07:12:34:50:119
[01],[5a],[00],[15],[61],[1c],[df],[44],23:07:12:34:50:187
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:50:203
[02],[5b],[00],[15],[3b],[45],[d1],[4a],23:07:12:34:50:219
[03],[5b],[00],[16],[42],[36],[db],[55],23:07:12:34:50:250
[01],[5b],[00],[16],[61],[1c],[df],[44],23:07:12:34:50:287
[02],[5b],[00],[16],[3b],[45],[d1],[4a],23:07:12:34:50:319
[03],[5b],[00],[17],[42],[36],[db],[55],23:07:12:34:50:350
[01],[5a],[00],[17],[61],[1c],[df],[44],23:07:12:34:50:387
[02],[5b],[00],[17],[3b],[45],[d1],[4a],23:07:12:34:50:419
[03],[5b],[00],[18],[42],[36],[db],[55],23:07:12:34:50:450
[02],[5c],[00],[18],[3b],[45],[d1],[4a],23:07:12:34:50:519
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:50:534
[01],[5b],[00],[19],[61],[1c],[df],[44],23:07:12:34:50:587
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:50:603
[02],[5b],[00],[19],[3b],[44],[d1],[4a],23:07:12:34:50:619
[03],[5b],[00],[1a],[42],[36],[db],[56],23:07:12:34:50:650
[01],[5a],[00],[1a],[61],[1c],[df],[44],23:07:12:34:50:681
[02],[5b],[00],[1a],[3b],[44],[d1],[4b],23:07:12:34:50:719
[03],[5b],[00],[1b],[42],[36],[db],[56],23:07:12:34:50:750
[02],[5b],[00],[1b],[3b],[44],[d2],[4b],23:07:12:34:50:819
[01],[00],[FF],[00],[00],[00],[00],[00],23:07:12:34:50:835
[03],[5b],[00],[1c],[41],[36],[db],[56],23:07:12:34:50:850
[01],[5b],[00],[1c],[61],[1b],[df],[44],23:07:12:34:50:882
[02],[5b],[00],[1c],[3b],[44],[d2],[4b],23:07:12:34:50:919
[03],[5b],[00],[1d],[41],[36],[db],[56],23:07:12:34:50:951
[01],[5a],[00],[1d],[61],[1b],[df],[44],23:07:12:34:50:982
[02],[5b],[00],[1d],[3b],[44],[d2],[4b],23:07:12:34:51:06
[03],[5a],[00],[1e],[41],[36],[db],[56],23:07:12:34:51:53
[01],[5a],[00],[1e],[61],[1b],[df],[44],23:07:12:34:51:85
[02],[5b],[00],[1e],[3b],[44],[d2],[4b],23:07:12:34:51:120
[03],[5b],[00],[1f],[41],[36],[db],[56],23:07:12:34:51:152
[01],[5b],[00],[1f],[61],[1b],[df],[44],23:07:12:34:51:183
[02],[5b],[00],[1f],[3b],[44],[d2],[4b],23:07:12:34:51:220
[03],[5a],[00],[20],[41],[36],[db],[56],23:07:12:34:51:251
[01],[5a],[00],[20],[61],[1b],[e0],[44],23:07:12:34:51:282
[02],[5b],[00],[20],[3b],[45],[d2],[4b],23:07:12:34:51:305
[03],[5b],[00],[21],[41],[36],[db],[56],23:07:12:34:51:351
[01],[5b],[00],[21],[61],[1b],[e0],[44],23:07:12:34:51:383
[02],[5b],[00],[21],[3b],[45],[d2],[4b],23:07:12:34:51:405
[03],[5b],[00],[22],[41],[36],[db],[56],23:07:12:34:51:452
[01],[5a],[00],[22],[61],[1b],[e0],[44],23:07:12:34:51:483
[02],[5b],[00],[22],[3b],[45],[d2],[4b],23:07:12:34:51:505
[03],[5b],[00],[23],[41],[36],[db],[56],23:07:12:34:51:552
[01],[5b],[00],[23],[61],[1b],[e0],[44],23:07:12:34:51:583
[02],[5b],[00],[23],[3b],[45],[d2],[4b],23:07:12:34:51:605
[03],[5b],[00],[24],[41],[36],[db],[55],23:07:12:34:51:652
[01],[5b],[00],[24],[62],[1b],[e0],[44],23:07:12:34:51:684
[02],[5c],[00],[24],[3b],[45],[d2],[4b],23:07:12:34:51:705
[03],[5a],[00],[25],[41],[36],[db],[56],23:07:12:34:51:752
[01],[5a],[00],[25],[62],[1a],[e0],[44],23:07:12:34:51:784
[02],[5b],[00],[25],[3b],[45],[d3],[4b],23:07:12:34:51:806
[03],[5b],[00],[26],[41],[36],[db],[56],23:07:12:34:51:853
[01],[5a],[00],[26],[62],[1a],[e0],[44],23:07:12:34:51:886
[02],[5c],[00],[26],[3b],[45],[d3],[4b],23:07:12:34:51:906
[03],[5b],[00],[27],[41],[36],[db],[56],23:07:12:34:51:953
[01],[5a],[00],[27],[61],[1a],[e0],[44],23:07:12:34:51:984
[02],[5b],[00],[27],[3b],[45],[d3],[4b],23:07:12:34:52:06
[03],[5a],[00],[28],[41],[36],[db],[56],23:07:12:34:52:38
[01],[5b],[00],[28],[61],[1a],[e0],[44],23:07:12:34:52:85
[02],[5b],[00],[28],[3b],[45],[d3],[4b],23:07:12:34:52:107
[03],[5b],[00],[29],[41],[36],[db],[56],23:07:12:34:52:138
