[01],[58],[00],[00],[e9],[c8],[0c],[92],23:07:12:53:49:191
[02],[5b],[00],[00],[11],[5d],[05],[53],23:07:12:53:49:223
[03],[5b],[00],[00],[26],[38],[f6],[6a],23:07:12:53:49:260
[01],[59],[00],[00],[cc],[cb],[10],[9c],23:07:12:53:49:292
[02],[5b],[00],[00],[20],[58],[ef],[53],23:07:12:53:49:323
[01],[59],[00],[01],[ce],[cb],[0e],[9a],23:07:12:53:49:392
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:49:423
[02],[5b],[00],[01],[20],[57],[f1],[54],23:07:12:53:49:423
[03],[5b],[00],[02],[26],[38],[f9],[6a],23:07:12:53:49:461
[01],[59],[00],[02],[cd],[cb],[0e],[9a],23:07:12:53:49:492
[02],[5b],[00],[02],[21],[56],[f0],[55],23:07:12:53:49:523
[01],[59],[00],[03],[ca],[cc],[10],[9c],23:07:12:53:49:592
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:49:623
[02],[5c],[00],[03],[22],[55],[ee],[54],23:07:12:53:49:623
[03],[5b],[00],[04],[2b],[37],[f7],[69],23:07:12:53:49:661
[01],[59],[00],[04],[c6],[ce],[11],[9d],23:07:12:53:49:692
[02],[5b],[00],[04],[24],[54],[eb],[55],23:07:12:53:49:724
[01],[59],[00],[05],[c3],[cf],[12],[9f],23:07:12:53:49:793
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:49:824
[02],[5b],[00],[05],[26],[52],[e8],[55],23:07:12:53:49:824
[03],[5b],[00],[06],[2f],[37],[f4],[67],23:07:12:53:49:862
[01],[59],[00],[06],[c0],[d1],[15],[a0],23:07:12:53:49:895
[02],[5c],[00],[06],[28],[50],[e5],[55],23:07:12:53:49:927
[01],[59],[00],[07],[be],[d1],[16],[a2],23:07:12:53:49:993
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:50:25
[02],[5b],[00],[07],[29],[4f],[e3],[54],23:07:12:53:50:25
[03],[5b],[00],[08],[31],[35],[f2],[67],23:07:12:53:50:62
[01],[59],[00],[08],[bc],[d2],[17],[a3],23:07:12:53:50:94
[02],[5b],[00],[08],[2a],[4f],[e2],[53],23:07:12:53:50:125
[01],[59],[00],[09],[bc],[d2],[17],[a3],23:07:12:53:50:193
[03],[00],[FF],[00],[00],[00],[00],[00],23:07:12:53:50:225
[02],[5c],[00],[09],[2a],[4f],[e1],[53],23:07:12:53:50:225
[03],[5b],[00],[0a],[31],[35],[f3],[67],23:07:12:53:50:263
[01],[59],[00],[0a],[bc],[d2],[16],[a3],23:07:12:53:50:294
[02],[5b],[00],[0a],[2a],[4e],[e1],[54],23:07:12:53:50:325
