duty_median_Thorax,duty_median_Abdomen,duty_median_Tot
,,
0.5,0.336876417,0.414141414
0.515640274,0.532291667,0.514718615
0.469669118,0.530330882,0.516685206
0.293746521,0.407894737,0.373134328
0.328571429,0.458333333,0.351851852
0.330952381,0.486309524,0.396683673
0.333333333,0.513240418,0.5
0.369491525,0.524390244,0.5
0.378640777,0.526084011,0.5
0.4,0.524390244,0.5
0.428571429,0.494186047,0.5
0.407692308,0.524390244,0.5
0.428571429,0.488372093,0.5
0.428571429,0.494186047,0.385290148
0.409637188,0.488372093,0.385964912
0.428571429,0.458333333,0.418367347
0.428571429,0.488372093,0.412672046
0.294117647,0.458333333,0.46780303
0.308017728,0.458333333,0.305595409
0.321917808,0.458333333,0.305595409
0.43377193,0.516576819,0.394736842
0.43377193,0.529411765,0.416080225
0.434210526,0.527777778,0.441048035
0.46,0.524390244,0.452570922
0.447105263,0.514285714,0.446808511
0.46,0.514285714,0.455729167
0.43377193,0.523322851,0.458333333
0.447105263,0.524758454,0.449966755
0.447105263,0.507142857,0.446808511
0.461538462,0.521629084,0.457627119
0.461538462,0.528594771,0.458333333
0.462476548,0.521629084,0.473684211
0.164589823,0.732285259,0.373134328
0.164589823,0.732285259,0.393710021
0.325,0.455555556,0.457980226
0.45,0.516266945,0.467213115
0.45972973,0.516266945,0.468725605
0.45472973,0.49122807,0.460526316
0.472242921,0.5,0.465116279
0.463414634,0.494736842,0.461032389
0.465313874,0.503968254,0.458896396
0.477952603,0.489516474,0.46332737
0.474747475,0.5,0.472953216
0.45,0.486923077,0.461538462
0.46,0.484033613,0.476731602
0.463414634,0.5,0.461032389
0.473611111,0.5,0.465891473
0.476136364,0.5,0.474937343
0.478632479,0.487179487,0.472222222
0.478899573,0.487179487,0.476190476
0.479166667,0.5,0.477272727
0.481341575,0.5,0.483870968
0.477952603,0.5,0.466939891
0.485347985,0.5,0.483870968
0.485714286,0.503968254,0.478636364
0.489913273,0.511111111,0.477272727
0.485714286,0.512195122,0.488372093
0.487179487,0.512195122,0.487492183
0.486446886,0.512195122,0.487804878
0.487179487,0.511653117,0.476190476
0.483516484,0.511653117,0.475998464
0.487179487,0.512195122,0.474745331
0.487179487,0.511653117,0.485817501
