fB_median_Thorax,fBmedian_Abdomen,fB_median_Tot
,,
20,10.00277855,9.836065574
20,18.75,20.34482759
18.75,18.18181818,19.35483871
5.771354934,3.947368421,8.955223881
10.34482759,9.375,9.375
10.43557169,9.600614439,9.600614439
10.16949153,10.16949153,19.35483871
10.16949153,9.677419355,19.05241935
10,10.16949153,19.35483871
10.34482759,10.16949153,20
10.16949153,10.16949153,20.68965517
10.34482759,10.16949153,20
10.16949153,9.677419355,20
10.16949153,9.600614439,9.302884615
10.08474576,9.523809524,9.523809524
10.16949153,10.16949153,9.523809524
9.838709677,9.375,9.918032787
5.405405405,6.25,7.453703704
5.000347246,3.947368421,5.97739889
5.357142857,3.947368421,5.97739889
10.16949153,9.449404762,9.230769231
10.16949153,10.16949153,9.449404762
10,8.955223881,8.955223881
10.34482759,8.955223881,8.955223881
10,10.16949153,9.375
10,10.16949153,9.375
10.08474576,10.16949153,9.523809524
10.16949153,10.16949153,9.375
10.25715956,9.600614439,9.375
10,9.677419355,9.090909091
10.16949153,10.08474576,9.090909091
10.25715956,10,9.523809524
1.043400333,0.441826215,5.217391304
1.01873119,0.441826215,6.573275862
5.357142857,5.607476636,7.843472317
8.823529412,9.449404762,8.823529412
9.523809524,9.523809524,8.955223881
8.633540373,8.955223881,8.955223881
8.571428571,9.375,9.523809524
9.375,9.375,9.090909091
9.600614439,9.523809524,9.090909091
10.90909091,9.090909091,9.677419355
10.43557169,9.523809524,10
8.571428571,8.823529412,8.571428571
8.823529412,9.023066486,8.633540373
11.32075472,10.16949153,9.230769231
11.32075472,10.16949153,9.302884615
11.88235294,9.677419355,10
10.34482759,9.449404762,10
10.71770335,9.523809524,10
12,10.25715956,10.16949153
12,9.836065574,10.34482759
12.12244898,11.11111111,9.677419355
12.24489796,10.71428571,8.955223881
12.24489796,11.21593291,9.375
12.5,11.11111111,9.523809524
12.5,11.11111111,11.11111111
12.5,11.32075472,10.90909091
12.5,11.76470588,10.90909091
12.5,11.76470588,9.836065574
12.76595745,12,9.677419355
12.76595745,11.76470588,9.836065574
12.76595745,12,12
12.76595745,12,9.677419355
12.76595745,12,9.523809524
12.76595745,11.76470588,9.600614439
12.76595745,12,10.90909091
12.76595745,12,10.62030075
13.04347826,12,11.11111111
13.04347826,12,10.52631579
13.04347826,12,10.34482759
13.04347826,12,10.52631579
13.04347826,12,15.38461538
13.04347826,12.24489796,15.78947368
13.04347826,12.24489796,15.78947368
13.04347826,12.24489796,16.21621622
13.04347826,12.12244898,15
13.04347826,12,14.63414634
13.04347826,12.24489796,15.38461538
13.33333333,12.12244898,16.21621622
13.33333333,12.24489796,16.21621622
13.33333333,12.24489796,16.21621622
13.33333333,12.5,16.21621622
13.33333333,12.5,15.38461538
13.33333333,12.5,15.38461538
13.33333333,12.5,14.28571429
13.33333333,12.5,15
13.33333333,12.5,14.63414634
13.33333333,12.5,15.38461538
13.33333333,12.63297872,15.38461538
13.33333333,12.5,15.78947368
13.33333333,12.5,16.21621622
13.33333333,12.5,16.21621622
13.63636364,12.5,16.21621622
13.33333333,12.5,15.38461538
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.63636364,12.5,15
13.63636364,12.5,15.78947368
13.63636364,12.5,15
2.5,2.194597318,13.33333333
2.5,2.194597318,13.33333333
13.48484848,12.5,16.21621622
13.33333333,12.5,16.21621622
13.33333333,12.76595745,15
13.33333333,12.5,15
13.48484848,12.5,15
13.48484848,12.5,15.78947368
13.63636364,12.5,16.21621622
13.63636364,12.76595745,16.00284495
13.63636364,12.76595745,15.38461538
13.33333333,12.76595745,15.38461538
12.76595745,8.5731782,15.38461538
12.76595745,8.450704225,15.38461538
13.33333333,12.76595745,16.21621622
13.33333333,12.76595745,16.21621622
13.33333333,12.76595745,16.21621622
13.33333333,12.76595745,15
13.33333333,12.76595745,14.63414634
13.33333333,12.76595745,14.63414634
13.33333333,12.76595745,15
13.33333333,12.76595745,16.21621622
13.33333333,12.76595745,14.63414634
13.33333333,12.76595745,15.38461538
13.33333333,12.76595745,15.38461538
13.63636364,12.76595745,14.63414634
13.63636364,12.76595745,14.63414634
13.63636364,12.76595745,16.21621622
13.63636364,12.76595745,16.21621622
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.33333333,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,16.21621622
13.63636364,12.76595745,15.78947368
13.48484848,12.76595745,15.38461538
13.63636364,12.76595745,15
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15
13.33333333,12.76595745,15
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.33333333,12.76595745,14.63414634
13.33333333,12.76595745,15
13.33333333,12.76595745,15.78947368
13.63636364,12.76595745,15
13.63636364,12.76595745,15
13.33333333,12.76595745,15.78947368
13.33333333,12.76595745,15.78947368
13.33333333,12.76595745,15.78947368
13.63636364,12.76595745,14.63414634
13.33333333,12.76595745,14.63414634
13.33333333,12.76595745,15.78947368
13.63636364,12.76595745,16.21621622
13.63636364,12.76595745,15.78947368
7.317073171,9.230769231,13.04347826
2.177865613,2.53164557,13.04347826
8,7.594936709,15.38461538
13.63636364,12.76595745,15.38461538
13.33333333,12.76595745,15
13.33333333,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,13.04347826,15.78947368
13.48484848,12.76595745,15.78947368
13.63636364,12.76595745,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,12.76595745,15
13.33333333,12.90471785,15
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,12.76595745,15.78947368
13.63636364,12.76595745,15.78947368
13.63636364,12.76595745,15.78947368
13.63636364,12.76595745,15.78947368
13.33333333,12.76595745,15.78947368
13.33333333,12.76595745,15
13.33333333,12.76595745,15
13.33333333,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.33333333,13.04347826,15.38461538
13.63636364,12.76595745,15.38461538
13.33333333,13.04347826,15.78947368
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
2.580325704,4.411764706,12.76595745
2.580325704,4.411764706,12.76595745
13.63636364,13.04347826,15.38461538
13.33333333,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.63636364,12.76595745,15.38461538
13.33333333,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,12.76595745,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,14.63414634
13.63636364,13.04347826,15
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15.19230769
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15
13.63636364,13.04347826,15
1.875,2.489626556,14.63414634
2.5,0.441826215,13.63636364
1.357466063,3.225806452,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.38461538
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15
13.63636364,13.04347826,15
13.33333333,13.04347826,13.95348837
13.33333333,13.04347826,14.63414634
13.63636364,13.04347826,15.78947368
13.63636364,13.04347826,15
13.33333333,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,14.63414634
13.63636364,13.04347826,15
13.63636364,13.04347826,15
13.63636364,13.04347826,15.38461538
13.33333333,13.04347826,15
13.63636364,13.04347826,15.38461538
13.04347826,12.24489796,12.5
13.04347826,12,12.5
13.33333333,12.90471785,13.63636364
13.33333333,13.04347826,13.95348837
13.33333333,13.04347826,15
13.33333333,13.04347826,14.63414634
13.33333333,13.04347826,14.28571429
13.33333333,13.04347826,14.63414634
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.38461538
13.33333333,12.76595745,15.38461538
13.33333333,12.76595745,15.38461538
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,13.95348837
13.33333333,13.04347826,14.28571429
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,12.76595745,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,14.28571429
13.33333333,13.04347826,14.28571429
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15.78947368
13.33333333,12.76595745,15.78947368
13.33333333,13.04347826,15
13.33333333,12.90471785,15
13.33333333,13.04347826,15.38461538
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
13.33333333,13.04347826,15.78947368
