Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Rx: [01],[01],[01],[01],[01],[01],[01],[01]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [03] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [01] , [03], [03], [03], [03], [03], [03], [03]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Rx: [02],[00],[00],[01],[5a],[05],[b5],[d1]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
Rx: [03],[00],[00],[01],[1f],[ce],[94],[e2]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Rx: [01],[00],[00],[01],[18],[33],[a9],[48]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
Rx: [03],[00],[00],[02],[1f],[ce],[94],[e2]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
Rx: [03],[00],[00],[03],[1e],[ce],[95],[e2]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Rx: [02],[00],[00],[03],[59],[05],[b4],[d0]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
Rx: [03],[00],[00],[04],[1e],[ce],[95],[e1]
Tx:( 0) : [02] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [03] , [00], [00], [00], [00], [00], [00], [00]
Tx:( 0) : [01] , [00], [00], [00], [00], [00], [00], [00]
