index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
0,10.263157894736842,4.2,2.65,0.6216666666666667,3.745245804363588,1.3499999999999996,1.9499999999999997,0.2780795232474525,8.21917808219178,3.3,2.1,0.4520547945205479,4.699262764219934,2.1547290184283363,1.982302653361441,0.19713421142727686,7.916666666666667,3.4,2.9000000000000004,0.4793569254185692,5.22603244837758,3.5749999999999993,4.9,0.18587709284627085,prone
300,8.587200981394396,4.2,3.4,0.5084246575342466,3.921545175190232,2.0249999999999995,2.35,0.3000075543249418,8.21917808219178,3.2,3.6,0.39473684210526316,4.37258281923787,2.2205240986594297,1.860303005622276,0.18616466493417552,10.967098703888336,2.5,2.35,0.44682768565248737,5.727892861120392,2.650000000000001,2.0,0.3777430865298841,prone
600,8.005692937199786,4.300000000000001,3.0,0.5481034482758621,3.8828005025827155,2.8499999999999996,1.8750000000000004,0.3702399380804954,25.0,1.1,1.1,0.46153846153846156,13.291085307321515,0.5086325497911737,1.0057009214644002,0.17402119264751514,12.122448979591837,2.4,2.35,0.4697297297297297,5.922046703296704,1.9500000000000004,2.3249999999999997,0.3216716207759699,prone
900,7.285840447453635,4.6,3.6,0.4832432432432432,2.8386709126960277,2.950000000000001,2.5500000000000003,0.3040645854389531,27.272727272727273,1.0,1.1,0.47058823529411764,13.991363268486095,0.516891757935248,1.0015184263841121,0.18061538149294012,9.375,2.8,3.3,0.45945945945945943,4.765957446808512,2.5,3.3000000000000003,0.39062500000000006,prone
1200,7.894736842105263,4.2,3.1,0.5068493150684932,4.1358369398296775,3.4499999999999993,2.0,0.41494028632186525,17.142857142857142,1.5,1.8,0.39473684210526316,5.11645324227378,0.8079565022500992,0.9458463653791865,0.18597018375501173,10.00277854959711,2.6500000000000004,2.35,0.48305555555555557,6.60576923076923,2.3000000000000007,3.3249999999999993,0.43662370578084553,prone
1500,7.894736842105263,4.2,3.1,0.5068493150684932,3.7847427557658184,3.5999999999999996,2.0999999999999996,0.4396929824561403,16.904761904761905,1.6,1.9,0.43625914315569486,5.314098002966956,1.3458542006516772,0.936270561377727,0.18767976837073785,9.533417402269862,3.2,2.35,0.48305555555555557,6.037234042553191,2.375,4.0,0.3028517759562842,prone
1800,7.894736842105263,3.7,3.3,0.48,4.004576659038902,3.3999999999999995,2.7,0.4727272727272727,16.44144144144144,1.65,1.95,0.4246212121212121,5.373416306145061,1.3171262417096248,1.0368833308247782,0.1846208167902273,9.375,2.7,2.7,0.4726027397260274,5.0,2.5,3.45,0.39041385135135137,prone
2100,8.21917808219178,2.5,3.3,0.46153846153846156,4.641909814323607,3.1999999999999993,2.3999999999999995,0.4696632315053368,26.086956521739133,1.0,1.2,0.4733893557422969,14.168852757869882,0.7198337350114997,1.039261587120705,0.1783799891726202,10.626959247648903,2.25,2.75,0.4817582417582418,5.759517823471315,2.1999999999999993,2.825,0.36910121396705564,prone
2400,7.894736842105263,2.4,3.6,0.36363636363636365,4.004576659038902,3.6999999999999997,2.9000000000000004,0.4697874373059469,23.07692307692308,1.2,1.3,0.46153846153846156,13.694240204461844,0.7304062170853812,1.1306706607833652,0.18323151651454067,8.955223880597014,2.8,2.7,0.47794117647058826,5.399863254994671,2.75,3.05,0.40102483520970655,prone
2700,7.894736842105263,4.0,3.6,0.45901639344262296,3.785195936139333,3.6499999999999995,3.3,0.43457672557190186,25.0,1.15,1.2,0.4641025641025641,13.592752371628134,0.7131044741161688,1.1256645546765573,0.17989451682447216,9.230769230769232,2.6,2.7,0.4726027397260274,7.134146341463415,2.5999999999999996,3.0,0.3883064516129032,prone
3000,7.792207792207791,4.0,4.1,0.45901639344262296,3.6855036855036856,3.7,3.7,0.38571428571428573,9.836065573770492,2.3,2.6,0.425531914893617,3.858201707383152,2.1618641413503683,1.9366655366049659,0.18740401521724803,9.449404761904763,3.0,2.5,0.4738013698630137,5.336663207057601,2.8000000000000003,3.125000000000001,0.4061664274382412,prone
3300,8.511066398390343,3.85,3.2,0.49,4.131578947368421,3.549999999999999,3.0,0.41399285980214867,25.0,1.0,1.1,0.5,14.032343181751099,0.9466845756764788,0.9688673918491146,0.185178169701914,9.67741935483871,2.6,3.2,0.4390243902439025,4.765957446808512,2.0999999999999996,2.4,0.31746031746031744,prone
3600,8.511066398390343,3.6500000000000004,3.55,0.46332114636159927,3.5936592888243837,3.4749999999999996,2.9000000000000004,0.36238584051084055,25.0,1.15,1.1,0.5,13.904828922339677,0.9305643226792584,0.9436821393609627,0.18198370044866086,9.600614439324117,2.6,3.2,0.43746091307066914,4.76595744680851,2.0999999999999996,2.5250000000000004,0.30861333020050125,prone
3900,8.571428571428571,3.2,3.55,0.45491803278688525,3.5936592888243837,3.55,2.9000000000000004,0.3735974197371257,16.216216216216214,1.7,1.9,0.46875,5.097795659291656,1.1066091540602196,1.0167881859951542,0.17966146254521645,15.0,1.8,2.1,0.4666666666666666,5.882352941176471,1.1999999999999997,1.6,0.27764347484276736,prone
4200,8.005692937199786,4.0,4.15,0.46332114636159927,3.5312859213353978,3.6000000000000005,3.4499999999999997,0.36238584051084055,9.600614439324119,2.2,2.75,0.43243243243243246,3.8091371896341286,2.3024362819741313,1.8853587098450872,0.18893766793145184,9.09090909090909,2.8,2.5,0.47794117647058826,5.265957446808512,2.3999999999999995,3.3000000000000003,0.38180856689582227,prone
4500,8.571428571428571,3.6,3.1,0.47154471544715443,3.9727126805778505,3.5999999999999996,3.0,0.4056372549019607,15.789473684210526,1.7,1.8,0.47826086956521746,5.152301080190194,1.2742918839148152,1.0252165165324956,0.18058758707498876,15.0,1.8,2.0,0.4677083333333333,7.0418552036199085,1.3,1.7000000000000002,0.2822735732009926,prone
4800,8.571428571428571,2.6,3.1,0.4676258992805755,3.9727126805778505,3.5,3.0,0.40680766688697945,15.789473684210526,1.7,1.8,0.47826086956521746,5.108706496831956,1.295179643940376,1.0098575432960522,0.179999280723171,15.0,1.8,2.0,0.4666666666666666,5.882352941176471,1.2000000000000002,1.7000000000000002,0.2760416666666667,stairs
5100,8.695652173913043,2.6,3.1,0.4676258992805755,3.9727126805778505,3.3999999999999995,3.0,0.4215135492399207,15.789473684210526,1.7,1.9,0.46875,5.020268787057455,1.124115032871424,1.0181779540292921,0.17820700699546493,14.817073170731707,1.8,2.05,0.463063063063063,6.108597285067873,1.1500000000000001,1.7000000000000002,0.28813289333536213,stairs
5400,8.823529411764705,2.6,2.7,0.4676258992805755,4.8681541582150105,3.3999999999999995,3.0,0.4133986928104575,15.789473684210526,1.8,1.9,0.46875,5.02395850971229,1.1584325277729994,1.0406965672188873,0.1790698225197735,14.634146341463415,1.8,2.0,0.45945945945945943,6.108597285067871,1.1999999999999997,1.7000000000000002,0.28947143183201457,stairs
5700,8.633540372670808,2.6500000000000004,2.6500000000000004,0.46958530736386495,4.65130622530855,3.375000000000001,3.0750000000000006,0.3971808988048162,9.677419354838712,2.3,2.7,0.425531914893617,3.9203234290200673,2.0990603209410255,2.2057269587484734,0.1853670943270501,14.285714285714285,1.8,2.05,0.48018528049408127,6.758021390374328,1.4999999999999998,1.5500000000000003,0.26433130447139075,stairs
6000,8.571428571428571,2.7,2.7,0.47154471544715443,4.396870535123225,3.45,3.2,0.3967641206751914,9.600614439324119,2.4,2.7,0.4289821736630247,3.9675697598747552,2.5826697648044528,2.187355007726126,0.18879865360675135,9.230769230769232,2.6,2.5,0.4444444444444444,6.461038961038961,2.5499999999999994,3.25,0.37596175471227894,stairs
6300,8.759590792838875,2.55,2.7,0.45407685098406747,5.351977398818387,3.0249999999999995,2.9250000000000003,0.40410539215686275,10.172413793103448,2.1,2.6500000000000004,0.4105263157894737,3.5998116390400563,1.9334412276288568,1.7580116298264044,0.1979268031153628,14.634146341463415,1.8,2.0,0.5,7.2115384615384635,1.3,1.2000000000000002,0.26304155614500446,stairs
6600,,,,,,,,,10.169491525423728,2.1,2.7,0.425,3.641845362272112,1.9308056893637888,1.7529643118368192,0.19734245719823934,,,,,,,,,stairs
6900,4.466051417270929,7.4,6.15,0.5089266095363656,0.41199736321687475,6.1,4.85,0.40323555262579647,10.257159555815313,2.1,2.7,0.42403846153846153,3.7304008647965237,2.009973556412868,1.8043735770627547,0.19402169603035133,4.000177785679363,6.1000000000000005,8.9,0.40455131339170625,0.026667851904529805,4.8,4.699999999999999,0.31730299124405525,prone
7200,4.000177785679363,8.9,6.1000000000000005,0.5954486866082936,0.026667851904529805,4.699999999999999,4.8,0.31730299124405525,10.0,2.1,2.7,0.425,3.7875066858295816,2.0195027072457723,1.9149858482239683,0.19256409233294916,3.648259037480594,8.1,8.35,0.49611887336438243,0.05544466622310962,3.9000000000000004,4.15,0.24462186737635838,cyclette
7500,3.973509933774834,4.2,10.9,0.2781456953642384,1.9023117076808354,4.7,132.25,0.4485980611483967,9.836065573770492,2.2,2.7,0.43243243243243246,3.72694834778777,1.9976815594341422,1.9110334984657031,0.19273071756487717,0.9637526214071302,24.049999999999997,17.05,0.5865473145780051,1.7172827852452737,48.00000000000001,25.049999999999997,0.48862009773212267,cyclette
7800,8.823529411764705,2.6,2.6,0.48717948717948717,7.056936647955092,3.3,3.0000000000000004,0.39032017870439306,9.918032786885245,2.25,2.6,0.44562647754137114,3.709278008497334,1.9850533035889213,1.8031124297781715,0.1909908244916117,11.764705882352942,2.5,2.5,0.5,6.54081746296915,2.3,2.0500000000000003,0.3424924012158055,cyclette
8100,8.571428571428571,2.7,2.9,0.475,6.122448979591836,3.3000000000000003,3.3000000000000003,0.37058823529411755,9.836065573770492,2.5,2.7,0.4520547945205479,3.9365209632213576,2.0137818513834214,2.1231062012674884,0.18358993543740257,12.0,2.4,2.4,0.4930555555555556,6.1764705882352935,2.2249999999999996,2.125,0.3589615931721194,cyclette
8400,8.571428571428571,2.6,2.6,0.48777579010137145,6.344682293684619,3.175,3.175,0.3863990078342274,10.0,2.2,2.6,0.43243243243243246,3.8202243466869645,1.9564423494360028,1.8889064504418345,0.18765723641113444,12.0,2.5,2.4,0.5,6.428571428571429,2.1999999999999997,2.1,0.33999999999999997,cyclette
8700,9.090909090909092,2.5,2.6,0.48717948717948717,6.211230629835281,2.75,2.65,0.38207282913165264,15.789473684210526,1.7,1.9,0.47826086956521746,5.444817861429217,1.07674160437399,1.0261812683355598,0.17830166817428425,11.320754716981131,2.25,2.5,0.4579905992949471,6.526038233355306,2.2249999999999996,2.25,0.38773559743954483,cyclette
9000,2.0,4.2,20.3,0.1646090534979424,1.0679012345679013,87.35,12.25,0.4263888888888888,,,,,,,,,3.147758536980094,8.1,8.35,0.49611887336438243,1.5101763440086788,50.05,10.974999999999998,0.5937308491125856,cyclette
9300,2.0,9.7,9.3,0.3233333333333333,2.511278195488721,5.499999999999999,19.0,0.5810663021189336,4.281650071123755,5.15,9.9,0.2954006638217164,1.58923003453022,5.444722215136416,0.141421356237309,0.2521310096976215,3.5611130679816836,6.050000000000001,10.1,0.3581014441704826,0.7666014023886514,8.5,6.725,0.4992423900314003,cyclette
9600,3.2388059701492535,6.949999999999999,9.45,0.3146517412935323,2.6627100716887995,5.574999999999999,14.325,0.4826335662418045,5.405405405405404,1.3,9.8,0.1171171171171171,1.287954268462485,4.387862045841155,0.11547005383792475,0.2042563371907814,1.911854103343465,3.05,17.95,0.135258358662614,1.7063865170753232,51.625,22.075000000000003,0.2439575234728022,cyclette
9900,4.477611940298507,4.2,9.3,0.3233333333333333,3.454545454545455,6.6,12.1,0.6190634065478656,7.787448465414567,1.3,7.2,0.21593872229465455,3.9374700141804926,3.834492578338539,3.21182710202983,0.15134349401376918,3.6363636363636367,3.0,7.8,0.14285714285714288,3.6070714155820536,3.7000000000000006,16.7,0.3924340000642275,cyclette
10200,4.601010694558703,4.15,6.050000000000001,0.4116057642820381,3.2358080105522475,3.9249999999999994,11.15,0.6612130659843101,7.692307692307693,3.2,4.5,0.45,3.643451384112199,3.138387631880313,3.716870939756528,0.19811783485506235,3.16953316953317,2.45,11.5,0.135258358662614,3.025757930013249,3.0,16.225,0.4009797414969829,cyclette
10500,6.157894736842105,4.6,4.15,0.5205254515599343,4.3478260869565215,4.675000000000001,4.05,0.3872201638024422,9.836065573770492,2.3499999999999996,2.8,0.4444444444444444,3.954197424884791,2.1987756350711205,2.186690838656256,0.19329998817760133,7.792207792207793,3.0,2.8,0.4444444444444444,5.950413223140497,4.3,4.0,0.48359788359788364,cyclette
10800,8.695652173913043,2.6,2.7,0.48,6.591760299625467,3.0,3.0,0.4000711237553343,9.836065573770492,2.3,2.7,0.43243243243243246,3.901523794181278,2.168399127465522,2.167233382762935,0.19644480748638232,10.084745762711865,2.4,2.5,0.4812302125734962,6.714511754068716,2.4250000000000003,2.65,0.41854126162636807,cyclette
11100,8.21917808219178,3.1,2.9,0.4857142857142857,5.295296946240343,3.45,3.35,0.39242769469697447,8.823529411764707,2.8499999999999996,3.8,0.4519889357218124,3.82587215723107,2.6502938085346823,2.932426128745884,0.19494307434572788,10.811688311688313,2.4,2.5,0.4643041237113402,6.941838649155724,2.3,2.5250000000000004,0.4188492063492063,cyclette
11400,7.792207792207791,4.0,3.3,0.48888888888888893,5.308880308880309,3.5,4.0,0.3823088455772114,9.523809523809524,2.55,3.3499999999999996,0.4467052261929353,3.9524880026487264,2.15658724960753,2.552621085613331,0.19106916931169926,7.692307692307693,3.1,3.4,0.4444444444444444,5.614448173695211,3.8,4.15,0.44189930812271244,cyclette
11700,7.947368421052632,3.6,3.1,0.48863049095607236,5.247229834385798,3.5,3.575,0.36901836901836904,9.230769230769232,2.7,3.6,0.43243243243243246,3.8123355088406385,2.182297974381332,2.927272792492406,0.19013583978761997,7.643622200584225,3.1,3.3499999999999996,0.44,5.550655097115275,3.7750000000000004,4.225,0.44372957684127906,cyclette
12000,8.695652173913043,2.8499999999999996,2.6,0.48777579010137145,7.334551191982939,3.6000000000000005,3.05,0.39134074737523017,9.375,2.6,3.5,0.43843843843843844,3.8600666842658833,2.1379035861847906,2.592968953081846,0.19134355011466234,9.67741935483871,2.5,2.5,0.4489795918367347,6.785714285714285,2.5500000000000003,2.8,0.41428571428571426,cyclette
12300,8.955223880597014,2.6,2.6,0.48717948717948717,6.767601969339151,2.8999999999999995,2.7,0.38995424787608113,9.090909090909092,2.7,3.6,0.44660194174757273,3.828335153554798,2.551041325848553,2.7794026334141027,0.1939266699917826,8.333333333333334,2.8,2.8,0.4444444444444444,6.314344543582704,2.7,3.5000000000000004,0.41428571428571426,cyclette
12600,8.823529411764707,2.7,2.6,0.48837209302325574,7.134425993170125,3.45,2.8999999999999995,0.39090660297556856,9.160839160839162,2.7,3.55,0.4467052261929353,3.8448436885424924,2.4572566867457106,2.7657575195294024,0.19216461287136158,8.333333333333334,2.6,2.8,0.4444444444444444,6.244218316373729,2.7,3.4000000000000004,0.38383838383838376,cyclette
12900,8.823529411764707,2.7,2.6,0.48717948717948717,6.975863625305432,3.3500000000000005,2.8999999999999995,0.39170025376921935,10.0,2.4,2.7,0.43243243243243246,3.8235880681510936,2.031870872868911,2.1745172093797507,0.19601707259993606,9.523809523809524,2.5,2.6,0.44519519519519524,5.833333333333332,2.5750000000000006,3.175,0.4202380952380952,cyclette
13200,8.823529411764707,2.6,2.6,0.48777579010137145,7.056936647955092,3.0,2.8999999999999995,0.38892676555068295,9.836065573770492,2.5,2.7,0.45,3.8500416377431366,2.033173351814109,2.2005486033955863,0.19557481709440402,9.523809523809524,2.55,2.6,0.44519519519519524,5.90909090909091,2.525,2.875,0.4094516594516594,cyclette
13500,8.955223880597014,2.6,2.6,0.48644688644688644,6.956224350205198,2.8999999999999995,2.8,0.39564477414521115,9.836065573770492,2.6,2.6500000000000004,0.4547453001819285,3.8744076493359527,2.0222590765219106,2.273443865272905,0.19273875554964545,9.836065573770492,2.5,2.6,0.44519519519519524,6.714511754068716,2.3249999999999997,2.8,0.4066027477999309,cyclette
13800,4.081632653061224,4.5,2.8,0.5172413793103449,2.995529061102832,5.6,9.6,0.626092990978487,3.20855614973262,1.3,9.8,0.1171171171171171,2.163160027919678,4.420633438773227,182.94439865707832,0.23458618989345298,3.592814371257485,3.0,7.8,0.251497005988024,1.971132897603486,7.549999999999999,14.25,0.5468043278388106,cyclette
14100,2.0,9.45,9.15,0.38945553039761305,2.5957719024088886,5.55,17.35,0.5736051386424522,4.227323628219485,5.1000000000000005,9.9,0.1171171171171171,2.0720827268618427,7.405876045411508,166.94118325526108,0.20484487740317675,3.592814371257485,3.0,7.8,0.251497005988024,2.238562091503268,5.0,14.8,0.43845350052246607,cyclette
