[01],[5c],[00],[00],[c7],[f1],[00],[70],12:07:22:19:57:270
[02],[5a],[00],[00],[87],[1c],[14],[06],12:07:22:19:57:301
[03],[5a],[00],[00],[05],[a5],[ad],[1c],12:07:22:19:57:332
[01],[5b],[00],[00],[dd],[f1],[0a],[78],12:07:22:19:57:364
[02],[59],[00],[00],[88],[e8],[ed],[18],12:07:22:19:57:395
[01],[5b],[00],[01],[dd],[f0],[0a],[78],12:07:22:19:57:473
[03],[00],[FF],[00],[00],[00],[00],[00],12:07:22:19:57:489
[02],[5a],[00],[01],[88],[e8],[ed],[19],12:07:22:19:57:504
[03],[5a],[00],[02],[05],[a6],[ac],[1c],12:07:22:19:57:536
[01],[5b],[00],[02],[dd],[f0],[0a],[78],12:07:22:19:57:567
[02],[59],[00],[02],[88],[e8],[ed],[19],12:07:22:19:57:598
[03],[5a],[00],[03],[05],[a6],[ac],[1c],12:07:22:19:57:629
[02],[5a],[00],[03],[88],[e8],[ed],[1b],12:07:22:19:57:707
[01],[00],[FF],[00],[00],[00],[00],[00],12:07:22:19:57:723
[03],[5a],[00],[04],[05],[a6],[ac],[1b],12:07:22:19:57:738
[01],[5c],[00],[04],[dd],[f0],[0a],[78],12:07:22:19:57:770
[02],[59],[00],[04],[89],[e8],[ed],[1c],12:07:22:19:57:801
[03],[5a],[00],[05],[05],[a6],[ac],[1b],12:07:22:19:57:833
[01],[5b],[00],[05],[dc],[f0],[0a],[78],12:07:22:19:57:864
[02],[59],[00],[05],[89],[e8],[ed],[1d],12:07:22:19:57:895
[03],[5a],[00],[06],[05],[a7],[ab],[1b],12:07:22:19:57:926
[01],[5b],[00],[06],[dc],[f0],[0a],[78],12:07:22:19:57:973
[02],[59],[00],[06],[89],[e8],[ee],[1e],12:07:22:19:58:04
[03],[5a],[00],[07],[04],[a7],[ab],[1b],12:07:22:19:58:36
[01],[5b],[00],[07],[dc],[f0],[09],[78],12:07:22:19:58:67
[02],[5a],[00],[07],[89],[e9],[ee],[1f],12:07:22:19:58:98
[03],[5a],[00],[08],[04],[a7],[ab],[1b],12:07:22:19:58:129
[01],[5b],[00],[08],[dc],[f0],[09],[78],12:07:22:19:58:160
[02],[59],[00],[08],[8a],[e9],[ee],[20],12:07:22:19:58:207
[03],[5a],[00],[09],[04],[a7],[ab],[1b],12:07:22:19:58:239
[01],[5b],[00],[09],[dc],[f0],[09],[78],12:07:22:19:58:270
[02],[5a],[00],[09],[8a],[e9],[ef],[21],12:07:22:19:58:301
[03],[5a],[00],[0a],[04],[a7],[ab],[1b],12:07:22:19:58:333
[01],[5b],[00],[0a],[dc],[f0],[09],[78],12:07:22:19:58:364
[02],[59],[00],[0a],[8a],[e9],[ef],[22],12:07:22:19:58:395
[03],[5a],[00],[0b],[04],[a7],[aa],[1b],12:07:22:19:58:426
[01],[5b],[00],[0b],[dc],[f1],[09],[78],12:07:22:19:58:473
[02],[59],[00],[0b],[8a],[e9],[ef],[23],12:07:22:19:58:504
[03],[5a],[00],[0c],[04],[a8],[aa],[1b],12:07:22:19:58:536
[01],[5b],[00],[0c],[dc],[f0],[09],[78],12:07:22:19:58:567
[02],[59],[00],[0c],[8b],[e9],[ef],[24],12:07:22:19:58:598
[03],[5a],[00],[0d],[04],[a8],[aa],[1b],12:07:22:19:58:630
[01],[5b],[00],[0d],[dc],[f0],[09],[78],12:07:22:19:58:661
[02],[5a],[00],[0d],[8b],[e9],[f0],[25],12:07:22:19:58:707
[03],[5b],[00],[0e],[04],[a8],[aa],[1b],12:07:22:19:58:739
[02],[59],[00],[0e],[8b],[e9],[ef],[27],12:07:22:19:58:797
[01],[00],[FF],[00],[00],[00],[00],[00],12:07:22:19:58:828
[03],[5a],[00],[0f],[04],[a8],[aa],[1b],12:07:22:19:58:828
[01],[5b],[00],[0f],[dc],[f1],[08],[78],12:07:22:19:58:859
[02],[59],[00],[0f],[8b],[e9],[f0],[28],12:07:22:19:58:907
[03],[5a],[00],[10],[04],[a8],[aa],[1b],12:07:22:19:58:939
[01],[5b],[00],[10],[dc],[f1],[08],[78],12:07:22:19:58:970
[02],[59],[00],[10],[8c],[e9],[f0],[29],12:07:22:19:59:01
[03],[5a],[00],[11],[04],[a8],[aa],[1b],12:07:22:19:59:33
[01],[5b],[00],[11],[dc],[f1],[08],[78],12:07:22:19:59:64
[02],[5a],[00],[11],[8c],[e9],[f0],[2a],12:07:22:19:59:95
[03],[5b],[00],[12],[04],[a8],[a9],[1b],12:07:22:19:59:126
[01],[5b],[00],[12],[dc],[f1],[08],[78],12:07:22:19:59:173
[03],[5a],[00],[13],[04],[a9],[a9],[1b],12:07:22:19:59:236
[02],[00],[FF],[00],[00],[00],[00],[00],12:07:22:19:59:267
[01],[5b],[00],[13],[dc],[f1],[07],[78],12:07:22:19:59:267
[02],[5a],[00],[13],[8d],[ea],[f1],[2c],12:07:22:19:59:298
[03],[5a],[00],[14],[04],[a9],[a9],[1b],12:07:22:19:59:330
[01],[5b],[00],[14],[dc],[f2],[08],[78],12:07:22:19:59:361
[02],[59],[00],[14],[8d],[ea],[f0],[2d],12:07:22:19:59:392
[03],[5a],[00],[15],[04],[a9],[a9],[1b],12:07:22:19:59:439
[01],[5b],[00],[15],[dc],[f2],[07],[78],12:07:22:19:59:470
[02],[59],[00],[15],[8e],[ea],[f1],[2e],12:07:22:19:59:502
[03],[5a],[00],[16],[04],[a9],[a9],[1b],12:07:22:19:59:533
[01],[5b],[00],[16],[dc],[f2],[07],[78],12:07:22:19:59:564
[02],[59],[00],[16],[8e],[eb],[f1],[2f],12:07:22:19:59:595
[03],[5a],[00],[17],[04],[a9],[a8],[1b],12:07:22:19:59:626
[01],[5c],[00],[17],[dc],[f2],[07],[78],12:07:22:19:59:674
[02],[59],[00],[17],[8e],[ea],[f1],[30],12:07:22:19:59:704
[03],[5a],[00],[18],[04],[a9],[a8],[1b],12:07:22:19:59:736
[01],[5c],[00],[18],[dc],[f2],[08],[78],12:07:22:19:59:767
[02],[59],[00],[18],[8f],[ea],[f2],[31],12:07:22:19:59:799
[03],[5a],[00],[19],[04],[a9],[a8],[1b],12:07:22:19:59:830
[01],[5b],[00],[19],[dd],[f3],[08],[78],12:07:22:19:59:861
[02],[59],[00],[19],[8f],[ea],[f2],[31],12:07:22:19:59:892
[03],[5a],[00],[1a],[05],[a9],[a8],[1b],12:07:22:19:59:939
[01],[5b],[00],[1a],[dd],[f3],[09],[78],12:07:22:19:59:970
[02],[59],[00],[1a],[8f],[ea],[f2],[32],12:07:22:20:00:19
[03],[5a],[00],[1b],[05],[aa],[a8],[1b],12:07:22:20:00:34
[01],[5b],[00],[1b],[dd],[f3],[0a],[78],12:07:22:20:00:66
[02],[59],[00],[1b],[8f],[e9],[f2],[32],12:07:22:20:00:97
[03],[5a],[00],[1c],[06],[aa],[a8],[1c],12:07:22:20:00:130
[01],[5b],[00],[1c],[de],[f3],[0b],[79],12:07:22:20:00:162
[03],[59],[00],[1d],[06],[aa],[a8],[1c],12:07:22:20:00:240
[02],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:00:255
[01],[5c],[00],[1d],[e0],[f4],[09],[79],12:07:22:20:00:270
[02],[5a],[00],[1d],[90],[e9],[f3],[34],12:07:22:20:00:302
[03],[5a],[00],[1e],[06],[aa],[a8],[1c],12:07:22:20:00:333
[01],[5b],[00],[1e],[e0],[f6],[08],[7a],12:07:22:20:00:365
[02],[59],[00],[1e],[91],[e9],[f3],[35],12:07:22:20:00:396
[03],[5a],[00],[1f],[06],[aa],[a8],[1b],12:07:22:20:00:427
[01],[5b],[00],[1f],[e1],[f6],[07],[7a],12:07:22:20:00:474
[02],[5a],[00],[1f],[91],[e9],[f3],[36],12:07:22:20:00:505
[03],[5a],[00],[20],[06],[ab],[a7],[1b],12:07:22:20:00:536
[01],[5b],[00],[20],[e2],[f7],[07],[7a],12:07:22:20:00:568
[02],[59],[00],[20],[91],[e9],[f4],[37],12:07:22:20:00:599
[03],[5a],[00],[21],[06],[ab],[a7],[1b],12:07:22:20:00:630
[01],[5c],[00],[21],[e2],[f7],[07],[7a],12:07:22:20:00:662
[02],[5a],[00],[21],[92],[e9],[f4],[38],12:07:22:20:00:692
[03],[5a],[00],[22],[06],[ab],[a7],[1b],12:07:22:20:00:740
[01],[5b],[00],[22],[e2],[f8],[06],[7a],12:07:22:20:00:771
[02],[5a],[00],[22],[92],[e9],[f3],[38],12:07:22:20:00:802
[03],[5a],[00],[23],[06],[ab],[a7],[1b],12:07:22:20:00:834
[01],[5b],[00],[23],[e2],[f7],[05],[7a],12:07:22:20:00:865
[02],[59],[00],[23],[93],[ea],[f3],[39],12:07:22:20:00:896
[03],[5a],[00],[24],[05],[ab],[a7],[1a],12:07:22:20:00:927
[01],[5b],[00],[24],[e1],[f8],[05],[7a],12:07:22:20:00:958
[02],[5a],[00],[24],[93],[eb],[f5],[3a],12:07:22:20:01:05
[03],[5a],[00],[25],[04],[ab],[a6],[1a],12:07:22:20:01:36
[01],[5b],[00],[25],[e1],[f8],[03],[7a],12:07:22:20:01:68
[02],[59],[00],[25],[93],[eb],[f4],[3b],12:07:22:20:01:99
[03],[5a],[00],[26],[04],[ac],[a6],[1a],12:07:22:20:01:131
[01],[5b],[00],[26],[e1],[f7],[03],[7a],12:07:22:20:01:162
[02],[59],[00],[26],[94],[ec],[f4],[3c],12:07:22:20:01:193
[03],[5a],[00],[27],[04],[ac],[a6],[1a],12:07:22:20:01:240
[01],[5c],[00],[27],[e1],[f6],[02],[7a],12:07:22:20:01:271
[02],[59],[00],[27],[94],[ed],[f4],[3d],12:07:22:20:01:302
[03],[5a],[00],[28],[03],[ac],[a6],[1a],12:07:22:20:01:334
[01],[5b],[00],[28],[e1],[f6],[02],[7a],12:07:22:20:01:365
[02],[59],[00],[28],[95],[ed],[f4],[3e],12:07:22:20:01:396
[03],[5a],[00],[29],[03],[ac],[a5],[1a],12:07:22:20:01:427
[01],[5b],[00],[29],[e1],[f6],[02],[7a],12:07:22:20:01:458
[02],[59],[00],[29],[95],[ed],[f4],[3f],12:07:22:20:01:506
[03],[5a],[00],[2a],[03],[ac],[a5],[1a],12:07:22:20:01:537
[01],[5b],[00],[2a],[e1],[f6],[01],[7a],12:07:22:20:01:568
[02],[59],[00],[2a],[96],[ed],[f5],[41],12:07:22:20:01:599
[01],[5b],[00],[2b],[e1],[f6],[01],[7a],12:07:22:20:01:662
[03],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:01:693
[03],[59],[00],[2c],[03],[ad],[a5],[1a],12:07:22:20:01:740
[02],[00],[FF],[00],[00],[00],[00],[00],12:07:22:20:01:755
[01],[5b],[00],[2c],[e1],[f6],[01],[7a],12:07:22:20:01:771
[02],[59],[00],[2c],[97],[ed],[f5],[42],12:07:22:20:01:802
[03],[5a],[00],[2d],[03],[ad],[a5],[1a],12:07:22:20:01:834
[01],[5b],[00],[2d],[e1],[f6],[02],[7a],12:07:22:20:01:865
[02],[59],[00],[2d],[97],[ed],[f4],[43],12:07:22:20:01:896
[03],[5a],[00],[2e],[04],[ad],[a4],[1a],12:07:22:20:01:928
[01],[5b],[00],[2e],[e2],[f6],[03],[7a],12:07:22:20:01:959
[02],[59],[00],[2e],[97],[ed],[f4],[43],12:07:22:20:02:06
[03],[5a],[00],[2f],[04],[ad],[a4],[1a],12:07:22:20:02:37
[01],[5b],[00],[2f],[e2],[f6],[04],[7a],12:07:22:20:02:68
[02],[59],[00],[2f],[97],[ed],[f3],[43],12:07:22:20:02:100
[03],[5a],[00],[30],[04],[ae],[a4],[1a],12:07:22:20:02:131
[01],[5b],[00],[30],[e2],[f6],[04],[7a],12:07:22:20:02:162
[02],[59],[00],[30],[98],[ee],[f3],[44],12:07:22:20:02:193
[03],[5a],[00],[31],[04],[ae],[a4],[1a],12:07:22:20:02:225
[01],[5b],[00],[31],[e2],[f6],[04],[7a],12:07:22:20:02:272
[02],[5a],[00],[31],[98],[ee],[f3],[44],12:07:22:20:02:302
