DevID,B,C,nthvalue,1,2,3,4
[03],[0d],[00],[00],[7c],[f9],[0d],[15]
[01],[ff],[00],[00],[74],[f7],[0c],[31]
[03],[0d],[00],[01],[7b],[f9],[0d],[17]
[01],[00],[00],[01],[73],[f7],[0c],[32]
[03],[0c],[00],[02],[7b],[f8],[0c],[19]
[01],[00],[00],[02],[73],[f7],[0c],[32]
[03],[0c],[00],[03],[7b],[f8],[0d],[1a]
[01],[ff],[00],[03],[72],[f7],[0c],[33]
[03],[0c],[00],[04],[7a],[f8],[0d],[1b]
[01],[00],[00],[04],[72],[f7],[0c],[34]
[03],[0c],[00],[05],[7a],[f8],[0c],[1c]
[01],[00],[00],[05],[72],[f7],[0c],[35]
[03],[0c],[00],[06],[7a],[f8],[0c],[1e]
[01],[00],[00],[06],[71],[f7],[0b],[36]
[03],[0c],[00],[07],[79],[f7],[0c],[1f]
[01],[ff],[00],[07],[71],[f8],[0b],[37]
[03],[0c],[00],[08],[7a],[f7],[0d],[1f]
[01],[00],[00],[08],[70],[f8],[0b],[38]
[03],[0c],[00],[09],[79],[f7],[0d],[20]
[01],[ff],[00],[09],[70],[f8],[0b],[39]
[03],[0c],[00],[0a],[79],[f6],[0c],[20]
[01],[00],[00],[0a],[70],[f8],[0b],[39]
[03],[0c],[00],[0b],[79],[f6],[0c],[20]
[01],[ff],[00],[0b],[6f],[f8],[0b],[3a]
[03],[0c],[00],[0c],[79],[f6],[0c],[22]
[01],[ff],[00],[0c],[6f],[f8],[0b],[3b]
[03],[0d],[00],[0d],[78],[f6],[0c],[24]
[01],[ff],[00],[0d],[6e],[f8],[0b],[3c]
[03],[0c],[00],[0e],[78],[f6],[0c],[24]
[01],[00],[00],[0e],[6e],[f9],[0a],[3c]
[03],[0d],[00],[0f],[78],[f6],[0b],[25]
[01],[00],[00],[0f],[6e],[f9],[0a],[3d]
[03],[0c],[00],[10],[77],[f6],[0c],[27]
[01],[00],[00],[10],[6d],[f9],[0a],[3e]
[03],[0c],[00],[11],[77],[f6],[0c],[27]
[01],[ff],[00],[11],[6d],[f9],[0a],[3f]
[03],[0c],[00],[12],[76],[f6],[0c],[29]
[01],[00],[00],[12],[6c],[f9],[0a],[3f]
[03],[0c],[00],[13],[75],[f6],[0c],[2c]
[01],[ff],[00],[13],[6c],[f9],[0a],[40]
[03],[0c],[00],[14],[75],[f6],[0c],[2c]
[01],[ff],[00],[14],[6c],[f9],[0a],[41]
[03],[0c],[00],[15],[75],[f6],[0c],[2d]
[01],[ff],[00],[15],[6b],[f9],[0a],[41]
[03],[0d],[00],[16],[75],[f6],[0b],[2d]
[01],[ff],[00],[16],[6b],[fa],[0a],[42]
[03],[0c],[00],[17],[75],[f6],[0b],[2e]
[01],[ff],[00],[17],[6a],[fa],[09],[43]
[03],[0b],[00],[18],[74],[f6],[0b],[2f]
[01],[ff],[00],[18],[6a],[fa],[09],[44]
[03],[0c],[00],[19],[74],[f6],[0c],[2f]
[01],[ff],[00],[19],[6a],[fa],[09],[44]
[03],[0b],[00],[1a],[74],[f6],[0c],[31]
[01],[ff],[00],[1a],[69],[fa],[09],[45]
[03],[0d],[00],[1b],[73],[f7],[0b],[31]
[01],[ff],[00],[1b],[69],[fa],[09],[46]
[03],[0c],[00],[1c],[73],[f6],[0c],[32]
[01],[ff],[00],[1c],[68],[fa],[09],[47]
[03],[0c],[00],[1d],[72],[f6],[0c],[34]
[01],[00],[00],[1d],[68],[fa],[09],[47]
[03],[0d],[00],[1e],[72],[f6],[0b],[34]
[01],[00],[00],[1e],[67],[fa],[09],[48]
[03],[0d],[00],[1f],[72],[f7],[0b],[35]
[01],[00],[00],[1f],[67],[fb],[09],[49]
[03],[0c],[00],[20],[71],[f7],[0b],[37]
[01],[ff],[00],[20],[66],[fb],[09],[49]
[03],[0d],[00],[21],[71],[f7],[0b],[37]
[01],[ff],[00],[21],[66],[fb],[09],[4a]
[03],[0b],[00],[22],[71],[f7],[0a],[37]
[01],[ff],[00],[22],[66],[fb],[09],[4a]
[03],[0c],[00],[23],[70],[f7],[0a],[38]
[01],[00],[00],[23],[65],[fb],[09],[4b]
[03],[0d],[00],[24],[70],[f7],[0a],[39]
[01],[ff],[00],[24],[65],[fb],[09],[4c]
[03],[0c],[00],[25],[6f],[f7],[0b],[3a]
[01],[00],[00],[25],[64],[fb],[08],[4c]
[03],[0c],[00],[26],[6f],[f7],[0b],[3a]
[01],[00],[00],[26],[64],[fc],[08],[4d]
[03],[0c],[00],[27],[6e],[f8],[0b],[3c]
[01],[00],[00],[27],[63],[fc],[08],[4d]
[03],[0c],[00],[28],[6e],[f8],[0a],[3c]
[01],[00],[00],[28],[63],[fc],[08],[4e]
[03],[0c],[00],[29],[6e],[f8],[0a],[3d]
[01],[00],[00],[29],[62],[fc],[08],[4f]
[03],[0c],[00],[2a],[6d],[f8],[0a],[3f]
[01],[ff],[00],[2a],[62],[fc],[08],[4f]
[03],[0c],[00],[2b],[6d],[f8],[0a],[3f]
[01],[00],[00],[2b],[62],[fc],[08],[50]
[03],[0b],[00],[2c],[6c],[f9],[09],[40]
[01],[ff],[00],[2c],[61],[fc],[07],[50]
[03],[0c],[00],[2d],[6c],[f8],[09],[41]
[01],[ff],[00],[2d],[61],[fd],[07],[51]
[03],[0c],[00],[2e],[6b],[f9],[09],[42]
[01],[ff],[00],[2e],[60],[fd],[07],[51]
[03],[0c],[00],[2f],[6c],[f9],[09],[41]
[01],[ff],[00],[2f],[60],[fd],[07],[52]
[03],[0c],[00],[30],[6b],[f9],[08],[42]
[01],[00],[00],[30],[60],[fd],[07],[52]
[03],[0c],[00],[31],[6b],[f9],[08],[42]
[01],[00],[00],[31],[5f],[fd],[07],[53]
[03],[0c],[00],[32],[6b],[f9],[08],[43]
[01],[ff],[00],[32],[5f],[fd],[07],[53]
[03],[0d],[00],[33],[6a],[fa],[08],[44]
[01],[00],[00],[33],[5e],[fd],[07],[54]
[03],[0c],[00],[34],[69],[fa],[08],[45]
[01],[00],[00],[34],[5e],[fd],[07],[54]
[03],[0d],[00],[35],[69],[fa],[08],[46]
[01],[ff],[00],[35],[5e],[fd],[07],[55]
[03],[0c],[00],[36],[68],[fa],[08],[47]
[01],[ff],[00],[36],[5d],[fd],[07],[55]
[03],[0d],[00],[37],[68],[fa],[09],[47]
[01],[00],[00],[37],[5d],[fe],[06],[55]
[03],[0c],[00],[38],[67],[fa],[08],[48]
[01],[00],[00],[38],[5c],[fe],[06],[56]
[03],[0c],[00],[39],[67],[fa],[08],[48]
[01],[ff],[00],[39],[5c],[fe],[06],[56]
[03],[0c],[00],[3a],[67],[fa],[08],[48]
[01],[00],[00],[3a],[5c],[fe],[06],[57]
[03],[0c],[00],[3b],[67],[fa],[08],[48]
[01],[00],[00],[3b],[5b],[fe],[06],[57]
[03],[0c],[00],[3c],[67],[fb],[08],[49]
[01],[ff],[00],[3c],[5b],[fe],[06],[58]
[03],[0c],[00],[3d],[67],[fb],[08],[49]
[01],[00],[00],[3d],[5a],[fe],[06],[58]
[03],[0c],[00],[3e],[66],[fb],[08],[49]
[01],[ff],[00],[3e],[5a],[fe],[06],[58]
[03],[0c],[00],[3f],[66],[fa],[08],[49]
[01],[00],[00],[3f],[5a],[fe],[06],[59]
[03],[0d],[00],[40],[66],[fb],[08],[4a]
[01],[00],[00],[40],[59],[fe],[06],[59]
[03],[0d],[00],[41],[66],[fb],[08],[4a]
[01],[00],[00],[41],[59],[ff],[06],[59]
[03],[0c],[00],[42],[64],[fb],[08],[4c]
[01],[00],[00],[42],[59],[ff],[05],[5a]
[03],[0d],[00],[43],[64],[fb],[08],[4d]
[01],[00],[00],[43],[58],[ff],[05],[5a]
[03],[0c],[00],[44],[63],[fb],[08],[4e]
[01],[ff],[00],[44],[58],[ff],[05],[5b]
[03],[0d],[00],[45],[63],[fb],[08],[4e]
[01],[00],[00],[45],[57],[ff],[05],[5b]
[03],[0c],[00],[46],[62],[fb],[08],[4f]
[01],[ff],[00],[46],[57],[ff],[05],[5b]
[03],[0c],[00],[47],[62],[fc],[07],[4f]
[01],[00],[00],[47],[57],[ff],[05],[5c]
[03],[0d],[00],[48],[61],[fc],[07],[50]
[01],[ff],[00],[48],[56],[ff],[05],[5c]
[03],[0c],[00],[49],[61],[fc],[07],[51]
[01],[00],[00],[49],[56],[ff],[05],[5c]
[03],[0c],[00],[4a],[61],[fc],[07],[50]
[01],[ff],[00],[4a],[56],[ff],[05],[5d]
[03],[0d],[00],[4b],[61],[fd],[06],[50]
[03],[0c],[00],[4c],[61],[fd],[06],[50]
[01],[00],[FF],[4b],[00],[00],[00],[00]
[01],[00],[00],[4c],[55],[ff],[05],[5d]
[03],[0c],[00],[4d],[61],[fc],[06],[50]
[01],[ff],[00],[4d],[55],[ff],[05],[5d]
[03],[0c],[00],[4e],[62],[fc],[06],[50]
[01],[ff],[00],[4e],[55],[00],[04],[5e]
[03],[0c],[00],[4f],[60],[fc],[06],[51]
[01],[ff],[00],[4f],[54],[00],[04],[5e]
[03],[0d],[00],[50],[62],[fc],[06],[50]
[01],[00],[00],[50],[54],[00],[05],[5e]
[03],[0d],[00],[51],[61],[fc],[06],[50]
[01],[ff],[00],[51],[54],[00],[04],[5f]
[03],[0e],[00],[52],[61],[fc],[05],[50]
[01],[00],[00],[52],[53],[00],[04],[5f]
[03],[0d],[00],[53],[62],[fc],[06],[50]
[01],[ff],[00],[53],[53],[00],[04],[5f]
[03],[0d],[00],[54],[61],[fb],[06],[50]
[01],[ff],[00],[54],[53],[00],[04],[5f]
[03],[0d],[00],[55],[61],[fc],[06],[51]
[01],[00],[00],[55],[52],[00],[04],[60]
[03],[0d],[00],[56],[60],[fc],[06],[51]
[01],[ff],[00],[56],[52],[00],[04],[60]
[03],[0d],[00],[57],[60],[fd],[06],[52]
[01],[ff],[00],[57],[52],[00],[04],[60]
[03],[0e],[00],[58],[60],[fc],[06],[52]
[01],[00],[00],[58],[51],[00],[04],[61]
[03],[0c],[00],[59],[5f],[fc],[06],[53]
[01],[ff],[00],[59],[51],[00],[04],[61]
[03],[0d],[00],[5a],[5f],[fc],[06],[53]
[01],[ff],[00],[5a],[51],[00],[04],[61]
[03],[0d],[00],[5b],[60],[fd],[06],[52]
[01],[00],[00],[5b],[51],[00],[04],[61]
[03],[0d],[00],[5c],[5e],[fe],[05],[54]
[01],[00],[00],[5c],[50],[00],[04],[61]
[03],[0c],[00],[5d],[5d],[fe],[05],[55]
[01],[00],[00],[5d],[50],[00],[04],[62]
[03],[0d],[00],[5e],[5d],[fd],[06],[55]
[01],[ff],[00],[5e],[50],[00],[04],[62]
[03],[0d],[00],[5f],[5d],[fd],[06],[55]
[01],[ff],[00],[5f],[4f],[00],[04],[62]
[03],[0d],[00],[60],[5e],[fd],[05],[54]
[01],[00],[00],[60],[4f],[00],[04],[62]
[03],[0d],[00],[61],[5e],[fd],[05],[54]
[01],[00],[00],[61],[4f],[00],[03],[63]
[03],[0d],[00],[62],[5e],[fd],[05],[54]
[01],[00],[00],[62],[4f],[00],[03],[63]
[03],[0d],[00],[63],[5e],[fd],[05],[54]
[01],[00],[00],[63],[4e],[00],[03],[63]
[03],[0d],[00],[64],[5d],[fc],[05],[55]
[01],[00],[00],[64],[4e],[00],[03],[63]
[03],[0d],[00],[65],[5d],[fc],[05],[55]
[01],[00],[00],[65],[4e],[00],[03],[63]
[03],[0d],[00],[66],[5d],[fc],[05],[56]
[01],[00],[00],[66],[4e],[00],[03],[64]
[03],[0d],[00],[67],[5c],[fc],[05],[56]
[01],[ff],[00],[67],[4d],[00],[03],[64]
[03],[0d],[00],[68],[5c],[fc],[06],[56]
[01],[00],[00],[68],[4d],[00],[03],[64]
[03],[0d],[00],[69],[5b],[fc],[05],[57]
[01],[00],[00],[69],[4d],[00],[03],[64]
[03],[0e],[00],[6a],[5b],[fc],[05],[57]
[01],[ff],[00],[6a],[4d],[00],[03],[64]
[03],[0d],[00],[6b],[5b],[fc],[05],[57]
[01],[00],[00],[6b],[4d],[00],[03],[64]
[03],[0d],[00],[6c],[5b],[fd],[05],[57]
[01],[ff],[00],[6c],[4c],[00],[03],[65]
[03],[0d],[00],[6d],[5c],[fc],[05],[57]
[01],[00],[00],[6d],[4c],[00],[03],[65]
[03],[0c],[00],[6e],[5c],[fc],[05],[56]
[01],[ff],[00],[6e],[4c],[00],[03],[65]
[03],[0c],[00],[6f],[5c],[fc],[05],[56]
[01],[ff],[00],[6f],[4c],[00],[03],[65]
[03],[0d],[00],[70],[5c],[fc],[05],[56]
[01],[00],[00],[70],[4c],[00],[02],[65]
[03],[0d],[00],[71],[5c],[fd],[04],[56]
[01],[00],[00],[71],[4c],[00],[02],[65]
[03],[0d],[00],[72],[5b],[fd],[04],[57]
[01],[ff],[00],[72],[4b],[00],[02],[65]
[03],[0c],[00],[73],[5c],[fd],[04],[57]
[01],[00],[00],[73],[4b],[00],[02],[65]
[03],[0d],[00],[74],[5b],[fd],[04],[57]
[01],[00],[00],[74],[4b],[00],[02],[65]
[03],[0d],[00],[75],[5b],[fd],[04],[57]
[01],[ff],[00],[75],[4b],[00],[02],[66]
[03],[0d],[00],[76],[5b],[fd],[04],[57]
[01],[ff],[00],[76],[4b],[01],[02],[66]
[03],[0d],[00],[77],[5b],[fd],[04],[57]
[01],[00],[00],[77],[4b],[00],[02],[66]
[03],[0d],[00],[78],[5b],[fd],[04],[57]
[01],[ff],[00],[78],[4b],[00],[02],[66]
[03],[0c],[00],[79],[5a],[fd],[04],[58]
[01],[00],[00],[79],[4a],[00],[02],[66]
[03],[0c],[00],[7a],[5a],[fd],[04],[59]
[01],[00],[00],[7a],[4a],[01],[02],[66]
[03],[0d],[00],[7b],[5a],[fd],[04],[59]
[01],[ff],[00],[7b],[4a],[01],[02],[66]
[03],[0d],[00],[7c],[59],[fe],[04],[5a]
[01],[ff],[00],[7c],[4a],[01],[02],[67]
[03],[0d],[00],[7d],[59],[fe],[04],[5a]
[01],[00],[00],[7d],[4a],[00],[02],[67]
[03],[0d],[00],[7e],[58],[fe],[03],[5a]
[01],[ff],[00],[7e],[49],[01],[02],[67]
[03],[0c],[00],[7f],[58],[fd],[04],[5a]
[01],[00],[00],[7f],[49],[01],[02],[67]
[03],[0d],[00],[80],[58],[fd],[04],[5b]
[01],[00],[00],[80],[49],[01],[02],[67]
[03],[0d],[00],[81],[58],[fd],[04],[5a]
[01],[00],[00],[81],[49],[01],[02],[67]
[03],[0c],[00],[82],[57],[fe],[04],[5b]
[01],[ff],[00],[82],[49],[01],[02],[67]
[03],[0c],[00],[83],[58],[fe],[03],[5b]
[01],[00],[00],[83],[49],[01],[02],[67]
[03],[0e],[00],[84],[58],[fd],[04],[5b]
[01],[00],[00],[84],[49],[01],[02],[67]
[03],[0c],[00],[85],[57],[fd],[04],[5b]
[01],[00],[00],[85],[49],[01],[02],[67]
[03],[0c],[00],[86],[57],[fe],[04],[5b]
[01],[00],[00],[86],[48],[01],[02],[67]
[03],[0c],[00],[87],[57],[fe],[03],[5b]
[01],[00],[00],[87],[48],[01],[02],[68]
[03],[0d],[00],[88],[56],[fe],[03],[5d]
[01],[ff],[00],[88],[48],[01],[02],[68]
[03],[0c],[00],[89],[55],[fd],[03],[5d]
[01],[00],[00],[89],[48],[01],[02],[68]
[03],[0d],[00],[8a],[55],[fd],[04],[5d]
[01],[00],[00],[8a],[48],[01],[02],[68]
[03],[0c],[00],[8b],[55],[fe],[04],[5d]
[01],[00],[00],[8b],[48],[01],[02],[68]
[03],[0c],[00],[8c],[56],[fe],[03],[5c]
[01],[ff],[00],[8c],[48],[01],[02],[68]
[03],[0d],[00],[8d],[56],[fe],[03],[5d]
[01],[00],[00],[8d],[48],[01],[02],[68]
[03],[0d],[00],[8e],[56],[fe],[03],[5c]
[01],[00],[00],[8e],[47],[01],[02],[68]
[03],[0d],[00],[8f],[56],[fe],[03],[5c]
[01],[00],[00],[8f],[47],[01],[02],[68]
[03],[0d],[00],[90],[56],[fe],[03],[5d]
