index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
0,26.086956521739133,1.2,1.1,0.5217391304347826,5.0,0.34999999999999987,0.275,0.07388888888888878,18.108108108108105,1.3,1.4,0.5357142857142857,8.295285268424067,4.400998509291712,0.9782482798194418,0.22167702637476813,26.679841897233203,1.1,1.1,0.5,4.728260869565219,0.2749999999999999,0.3749999999999999,0.09469696969696972,stairs
300,27.272727272727273,1.1,1.1,0.5217391304347826,5.0,0.30000000000000004,0.32499999999999996,0.07954996186117458,27.272727272727273,0.9,1.3,0.4645161290322581,12.165517372367455,2.7175959293698604,1.4556795145233203,0.14254989548972727,27.272727272727273,1.1,1.1,0.5,5.0,0.3500000000000001,0.29999999999999993,0.09823232323232328,prone
600,27.272727272727273,1.1,1.0,0.5217391304347826,4.728260869565219,0.30000000000000004,0.20000000000000007,0.08062801932367131,30.0,0.9,1.0,0.47058823529411764,12.506272997958849,2.182833457862029,1.2150814928760998,0.1436887378805712,27.272727272727273,1.0,1.1,0.5,5.491990846681919,0.29999999999999993,0.3999999999999999,0.11316425120772944,lying_right
900,27.272727272727273,1.1,1.0,0.5,3.9130434782608674,0.19999999999999996,0.29999999999999993,0.08187134502923976,30.0,0.8,1.0,0.4666666666666666,12.300723889194705,1.9439797424503267,1.1339867397487178,0.13053832293828682,28.57142857142857,1.0,1.1,0.5,5.491990846681919,0.29999999999999993,0.3999999999999999,0.10972222222222222,lying_right
1200,28.57142857142857,1.1,1.0,0.5,3.9130434782608674,0.19999999999999996,0.20000000000000007,0.08061821219715959,30.0,0.8,1.0,0.47058823529411764,13.048194423104569,1.7303220777513135,1.0915409739091646,0.1360866607812504,28.57142857142857,1.0,1.05,0.52,5.930587337909991,0.29999999999999993,0.3999999999999999,0.10694444444444445,running
1500,28.57142857142857,1.1,1.0,0.5,3.9130434782608674,0.19999999999999996,0.20000000000000007,0.07631578947368423,28.57142857142857,0.9,1.0,0.47058823529411764,12.71030320245726,1.6666400517186846,1.0637791572613011,0.14060624386418763,28.57142857142857,1.0,1.1,0.5,5.491990846681919,0.29999999999999993,0.3999999999999999,0.1027777777777778,sitting
1800,28.57142857142857,1.0,1.0,0.5,5.491990846681919,0.29999999999999993,0.20000000000000007,0.08571428571428569,27.92207792207792,0.9,1.0,0.5,12.714715016168542,1.5500235590815594,1.1371520814866687,0.14970572461362763,28.571428571428577,1.0,1.0,0.5,5.491990846681919,0.2499999999999999,0.3999999999999999,0.10000000000000003,lying_right
2100,29.285714285714285,1.0,1.0,0.5,4.306220095693778,0.20000000000000007,0.20000000000000007,0.09545454545454551,27.272727272727273,0.9,1.0,0.5,12.596616259139813,1.4940230756233484,1.1957084978711108,0.15657210874030142,30.0,1.0,1.0,0.5,4.306220095693778,0.20000000000000007,0.3999999999999999,0.1027777777777778,lying_right
2400,30.0,1.0,1.0,0.5,4.306220095693778,0.20000000000000007,0.20000000000000007,0.09545454545454551,27.272727272727273,0.9,1.0,0.5,12.74907678143096,1.521014597071229,1.188027570354859,0.16614044660897556,30.0,1.0,1.0,0.5,6.060606060606062,0.20000000000000007,0.3999999999999999,0.10555555555555557,prone
2700,30.0,1.0,1.0,0.5,4.306220095693778,0.20000000000000007,0.20000000000000007,0.09545454545454551,28.57142857142857,0.9,1.0,0.4736842105263158,13.38013594056945,1.5108455227283784,1.1495289357791514,0.17213421997930697,30.0,1.0,1.0,0.5,6.060606060606062,0.20000000000000007,0.3999999999999999,0.10555555555555557,prone
