index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
0,9.339080459770116,2.5,4.0,0.39415708812260536,1.0057471264367823,0.2999999999999994,1.0,0.08860153256704978,9.032114183764495,2.5,4.25,0.3839206066012489,1.6084944621103445,0.5656854249492379,1.7677669529663689,0.15217619175847863,9.339080459770116,2.5,4.0,0.39415708812260536,1.0057471264367823,0.2999999999999994,1.0,0.08860153256704978,lying_left
300,9.339080459770116,3.25,4.0,0.3974639664294837,3.599585280619764,1.6000000000000005,4.375,0.22943770788598372,7.894736842105263,2.9,5.5,0.3206521739130435,3.5208022806868122,2.003330560175563,4.924428900898052,0.11363579920370145,9.339080459770116,3.3499999999999996,4.0,0.3974639664294837,3.599585280619764,1.7500000000000009,4.425,0.2390530925013683,unknown
600,5.753968253968255,4.800000000000001,4.0,0.5971485411140584,7.173303229337713,12.400000000000002,4.025,0.3855679760852175,7.894736842105263,4.3,5.3,0.4915254237288135,3.1707640748989934,4.027997257293245,9.547749672541892,0.2512070270896846,7.894736842105263,3.9,5.0,0.5221238938053098,5.428983077609935,9.8,3.5000000000000004,0.35785904090965276,prone
900,7.894736842105263,3.7,5.0,0.5221238938053098,4.5263310604961555,3.1000000000000005,3.4000000000000004,0.3378010878010878,7.605905006418485,4.75,4.35,0.5045346416889682,2.528603078615458,2.802542136033359,4.043279122272671,0.20141083391787773,8.114035087719298,3.95,4.0,0.5687542545949626,4.187289087912909,2.500000000000001,3.8750000000000004,0.3418351833770149,prone
1200,8.114035087719298,3.6500000000000004,3.6,0.5561439141157697,5.108690849737195,3.2250000000000005,3.7999999999999994,0.37470155527532584,7.317073170731708,5.2,4.1,0.5175438596491229,2.668762059790254,4.01800435220757,3.8967606533816768,0.21172946864473124,9.375,2.8,3.0,0.48275862068965514,3.2107512370670257,2.25,3.0999999999999996,0.4873962459913225,unknown
1500,8.912852112676056,2.8499999999999996,3.1,0.47137931034482755,3.2387853122880363,2.4000000000000004,4.05,0.46930913904957633,8.452380952380953,4.25,3.5,0.5042168181446,3.6415284085887114,4.1888585494991855,3.1034084150897177,0.24578586452898551,8.333333333333334,2.8,3.0,0.48275862068965514,2.9831325731759932,3.2,3.95,0.48881018096779016,unknown
1800,8.571428571428571,3.5,3.2,0.5714285714285714,2.9374201787994894,3.3,3.0,0.4734432234432235,8.955223880597014,2.9,3.6,0.5,3.4461599464269908,3.3734956822678117,2.2183836021868744,0.2656243797950549,9.230769230769232,2.8,3.2,0.48275862068965514,4.024393993747758,3.3,2.95,0.512702521330649,unknown
2100,9.375,3.4,3.0,0.5714285714285714,3.572704099019888,2.6,2.2,0.3984713414820942,9.092996555683122,2.75,3.5,0.4774700289375775,3.354659570990099,3.1817585234563763,2.129272548853619,0.2521238091012724,9.605532786885245,2.8,2.85,0.5301974448315913,4.241437681001782,2.9000000000000004,2.4750000000000005,0.42198343774618297,unknown
2400,9.375,3.4,3.0,0.525,4.031700427049264,2.5,2.5,0.3723085507844197,9.377289377289378,2.75,3.5,0.4774700289375775,3.241520654196421,3.164774063309239,2.0539892392297956,0.2514007336171885,9.836065573770492,2.8,2.6,0.5877192982456141,4.35016111707841,2.5000000000000004,2.3,0.3903201787043933,unknown
2700,9.375,2.9,3.0,0.525,4.577154972503809,2.2500000000000004,2.8500000000000005,0.3723085507844197,9.679937548790008,2.75,3.3,0.4774700289375775,3.3431951922960663,3.0095700818048225,1.9281051247223726,0.24241131587253806,10.0,2.75,2.55,0.5621523320496364,4.896810075381504,2.4749999999999996,2.4000000000000004,0.4118916388789968,unknown
