DevID,B,C,nthvalue,1,2,3,4
 [01],[00],[00],1,[13],[42],[ae],[43]
 [02],[00],[00],1,[63],[07],[c0],[d4]
 [03],[00],[00],1,[ea],[48],[53],[3a]
 [01],[00],[00],2,[13],[42],[ae],[43]
 [02],[00],[00],2,[63],[07],[c0],[d4]
 [03],[00],[00],2,[ea],[48],[53],[3a]
 [02],[00],[00],3,[63],[07],[c0],[d3]
 [03],[00],[00],3,[ea],[48],[53],[3a]
 [01],[00],[00],3,[13],[42],[af],[44]
 [03],[00],[00],4,[ea],[48],[53],[3a]
 [01],[00],[00],4,[13],[42],[af],[44]
 [01],[00],[00],5,[13],[42],[af],[44]
 [02],[00],[00],5,[62],[07],[c0],[d3]
 [03],[00],[00],5,[ea],[48],[53],[3a]
 [02],[00],[00],6,[62],[07],[c0],[d3]
 [03],[00],[00],6,[eb],[48],[53],[3a]
 [01],[00],[00],6,[13],[42],[af],[44]
 [01],[00],[00],7,[13],[42],[af],[44]
 [02],[00],[00],7,[62],[07],[bf],[d2]
 [03],[00],[00],8,[eb],[48],[54],[3a]
 [01],[00],[00],8,[13],[42],[af],[44]
 [02],[00],[00],8,[62],[07],[bf],[d2]
 [01],[00],[00],9,[13],[42],[af],[44]
 [02],[00],[00],9,[62],[06],[bf],[d2]
 [03],[00],[00],9,[eb],[48],[54],[3a]
 [02],[00],[00],10,[62],[06],[c0],[d1]
 [03],[00],[00],11,[eb],[47],[54],[39]
 [01],[FF],,10,[00],[00],[00],[00]
 [01],[00],[00],11,[13],[43],[af],[43]
 [02],[00],[00],11,[62],[06],[c0],[d1]
 [03],[00],[00],12,[eb],[48],[54],[39]
 [01],[00],[00],12,[13],[43],[af],[43]
 [02],[00],[00],12,[62],[06],[c1],[d1]
 [01],[00],[00],13,[13],[43],[af],[43]
 [02],[00],[00],13,[63],[05],[c1],[d1]
 [03],[00],[00],14,[eb],[47],[54],[3a]
 [02],[00],[00],14,[62],[05],[c1],[d1]
 [03],[00],[00],15,[eb],[47],[54],[39]
 [01],[FF],,14,[00],[00],[00],[00]
 [01],[00],[00],15,[13],[43],[af],[43]
 [02],[00],[00],15,[62],[05],[c1],[d1]
 [03],[00],[00],16,[eb],[47],[55],[39]
 [01],[00],[00],16,[13],[43],[af],[43]
 [01],[00],[00],17,[13],[43],[af],[43]
 [02],[00],[00],17,[62],[05],[c1],[d1]
 [03],[00],[00],18,[eb],[46],[55],[3a]
 [01],[00],[00],18,[13],[43],[af],[43]
 [02],[00],[00],18,[62],[04],[c1],[d1]
 [01],[00],[00],19,[12],[44],[af],[43]
 [02],[00],[00],19,[62],[04],[c1],[d1]
 [01],[00],[00],20,[12],[44],[b0],[43]
 [02],[00],[00],20,[62],[04],[c1],[d0]
 [01],[00],[00],21,[12],[44],[b0],[43]
 [02],[00],[00],21,[62],[04],[c1],[d0]
 [03],[00],[00],22,[eb],[47],[55],[39]
 [02],[00],[00],22,[62],[04],[c1],[d0]
 [03],[00],[00],23,[eb],[47],[55],[39]
 [01],[FF],,22,[00],[00],[00],[00]
 [01],[00],[00],23,[12],[44],[b0],[44]
 [02],[00],[00],23,[62],[05],[c0],[d0]
 [03],[00],[00],24,[eb],[46],[55],[39]
 [01],[00],[00],24,[12],[43],[b0],[44]
 [02],[00],[00],24,[61],[05],[c0],[d0]
 [03],[00],[00],25,[eb],[46],[55],[39]
 [01],[00],[00],25,[12],[43],[b0],[44]
 [03],[00],[00],26,[eb],[46],[55],[39]
 [01],[00],[00],26,[12],[44],[b0],[44]
 [02],[00],[00],26,[61],[05],[bf],[cf]
 [03],[00],[00],27,[eb],[46],[55],[39]
 [01],[00],[00],27,[12],[43],[b0],[45]
 [02],[00],[00],27,[60],[05],[bf],[cf]
 [01],[00],[00],28,[13],[43],[b1],[45]
 [02],[00],[00],28,[60],[04],[bf],[cf]
 [03],[00],[00],30,[eb],[46],[56],[39]
 [01],[00],[00],29,[13],[43],[b1],[45]
 [02],[00],[00],29,[60],[04],[bf],[cf]
 [01],[00],[00],30,[13],[43],[b0],[45]
 [02],[00],[00],30,[60],[04],[be],[cf]
 [03],[00],[00],31,[eb],[46],[56],[39]
 [01],[00],[00],31,[13],[43],[b0],[45]
 [02],[00],[00],31,[60],[04],[be],[cf]
 [01],[00],[00],32,[13],[43],[b0],[45]
 [03],[00],[00],33,[eb],[46],[56],[39]
 [03],[00],[00],34,[eb],[46],[56],[39]
 [01],[00],[00],33,[12],[43],[b0],[44]
 [02],[00],[00],33,[60],[04],[bf],[cf]
 [01],[00],[00],34,[12],[44],[b0],[44]
 [02],[00],[00],34,[61],[04],[c0],[cf]
 [03],[00],[00],35,[eb],[46],[56],[39]
 [01],[FF],,35,[00],[00],[00],[00]
 [01],[00],[00],36,[12],[44],[b0],[43]
 [02],[00],[00],35,[61],[04],[c0],[cf]
 [03],[00],[00],37,[eb],[45],[56],[39]
 [02],[00],[00],36,[61],[04],[c1],[cf]
 [03],[00],[00],38,[eb],[45],[56],[39]
 [01],[00],[00],37,[12],[44],[b0],[43]
 [02],[00],[00],37,[61],[04],[c1],[cf]
 [01],[00],[00],38,[12],[44],[b0],[43]
