index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot
0,,,,,,,,,,,,,,,,,,,,,,,,
300,6.976744186046511,2.5,5.2,0.31395348837209297,3.0237154150197636,1.0,3.0999999999999996,0.1935725758254893,7.625482625482625,3.8000000000000003,3.55,0.47569296375266523,3.340217411781876,3.2714930332596865,2.8424559021303315,0.2600714082792422,9.523809523809524,3.7,3.2,0.5581395348837209,4.856752898554131,1.1000000000000005,2.0999999999999996,0.2943462193504016
600,3.9735099337748347,2.2,7.5,0.22680412371134023,3.0975791836728135,1.7000000000000002,9.649999999999999,0.28786398298946675,5.164835164835164,4.300000000000001,6.15,0.31248185776487664,3.1869372542366428,4.678808609037135,7.217129920246295,0.2775888347251619,2.955665024630542,2.5,3.8,0.5581395348837209,6.4065522718109005,8.95,9.8,0.5234302230672467
900,4.878048780487805,2.3,6.1,0.2375,2.8792134831460676,6.299999999999999,9.4,0.5795340902406023,5.7142857142857135,1.7,6.1,0.25,3.305485625451918,4.272299785191279,6.291162632830857,0.25182869541663144,5.3097345132743365,4.8,3.8,0.6194690265486725,4.333572379879111,7.1,4.699999999999999,0.43615984405458097
1200,6.25,2.5,4.8,0.3969465648854962,4.212860310421287,3.1,4.5,0.38514150943396225,8.108108108108107,3.2,3.8,0.41904761904761906,3.0419306748003967,3.7728604785329907,2.342251663921462,0.25171128754773997,10.257159555815312,3.6,3.4000000000000004,0.47845940043676793,4.169275491949913,2.7250000000000005,2.3499999999999996,0.3848863495602626
1500,9.230769230769232,2.2,3.5,0.34848484848484845,6.172550853401917,1.5000000000000002,3.2,0.3330561330561331,9.761904761904763,1.85,3.7,0.3556521739130435,2.397219667399292,1.5455125995611614,2.284188530174186,0.24019675324133807,10.169491525423728,3.6,3.2,0.4931506849315068,4.03846153846154,2.7,2.4,0.385024154589372
1800,9.090909090909092,2.1500000000000004,4.35,0.32786282013541357,4.067070238465671,1.5500000000000007,2.7249999999999996,0.27507071443819825,9.239516702203268,3.4000000000000004,3.7,0.45609915198956297,2.388067489309564,1.8803989412497337,2.192150963483655,0.24171990805711233,10.169491525423728,3.6,3.2,0.4931506849315068,3.5434756022991323,2.7500000000000004,2.55,0.40974854453115334
2100,9.230769230769232,2.2,4.0,0.34426229508196726,4.832667332667331,1.7999999999999996,3.0,0.360584257171973,10.084745762711865,2.8,3.6500000000000004,0.43174603174603177,2.4387409933055126,1.77669925885341,2.0035209392083115,0.23117971873201898,10.257159555815312,3.4000000000000004,3.1500000000000004,0.5215753424657534,3.5732952936820794,2.625,2.5250000000000004,0.42021749213665555
2400,9.523809523809524,2.2,4.0,0.34848484848484845,4.532145125607169,2.0999999999999996,3.05,0.3733541627050364,23.53846153846154,1.3,1.2,0.5,10.204420210522558,0.689112887675797,0.6517695926668924,0.1482964800681435,10.526315789473685,2.8,3.2,0.45934730056406126,3.1878717431896035,2.775,2.5749999999999993,0.4102203234618489
2700,6.521739130434783,2.6,4.3,0.45945945945945943,4.172876304023847,5.8,5.2,0.403233203393717,8.21917808219178,3.2,3.7,0.4173160173160173,2.493657781561623,2.270130558717535,2.0750181886170993,0.2415891613831996,6.976744186046512,3.6,4.0,0.41463414634146334,5.826158901793075,3.0000000000000004,4.2,0.2649383946897981
3000,6.521739130434783,3.3,4.2,0.48780487804878053,3.7811745776347543,5.8,4.1,0.403233203393717,8.21917808219178,3.35,3.6500000000000004,0.427170868347339,2.858454403420647,2.5632702959167375,2.1883638112098196,0.23721735256557372,6.976744186046512,3.6,4.0,0.42857142857142855,5.8529447628338005,3.1,4.0,0.32758620689655166
3300,8.243929983060417,2.25,4.0,0.3539299242424242,4.400845864661655,2.3,3.3250000000000006,0.3801217777320719,9.165111940298507,3.2,3.6500000000000004,0.43174603174603177,2.725027177386092,2.256856795944882,1.951455500755416,0.22748652094128946,9.523809523809524,3.6500000000000004,3.45,0.4834174477289113,4.19315971314926,2.75,2.7249999999999996,0.3935915711753203
3600,1.2875536480686696,1.9,14.2,0.2375,4.081294364103947,3.8499999999999996,44.550000000000004,0.3447344960458368,0.8583690987124463,5.4,20.8,0.6666666666666666,5.988643317353353,86.31227027485721,40.85443672356774,0.4144980716493696,0.7553982899376841,1.6,81.9,0.018335466885657695,2.956051200920365,0.10000000000000009,80.0,0.07463892280276634
3900,1.9481246501212914,1.7999999999999998,17.95,0.1470108695652174,2.8313596166000248,2.625,37.875,0.3398411903895646,2.9411764705882346,3.0,19.1,0.06372549019607843,5.725533887861534,2.3194827009486407,119.12565634656544,0.3884919680201437,1.295275590551181,1.4500000000000002,64.3,0.03003280839895013,3.7817858356877365,0.3250000000000002,122.775,0.0928748260899447
4200,6.282894736842105,2.95,5.45,0.3940476190476191,4.879617635372111,6.0249999999999995,4.150000000000001,0.40159314400707125,2.0,3.0,20.8,0.09155937052932761,5.028647404283599,73.25066227556938,34.01435971272525,0.39816000039608823,1.460122699386503,1.6,46.3,0.0316359918200409,1.327025264479977,0.2999999999999998,62.72500000000001,0.043299458158221026
4500,7.067627494456763,2.2,4.8,0.356341189674523,3.7811745776347543,3.975,4.050000000000001,0.3925083441212474,7.594936708860758,3.2,3.8,0.4818652849740933,3.4116090733416664,4.020696637571506,3.1089236700290286,0.23685566053157722,6.976744186046512,3.2,4.0,0.37254901960784315,6.059113300492611,2.6999999999999997,4.9,0.4038884812912692
