index,fB_median_Thorax,Ti_median_Thorax,Te_median_Thorax,duty_median_Thorax,fBirq_Abd,Tiirq_Abd,Teirq_Abd,duty_irq_Abd,fBmedian_Abdomen,Ti_median_Abdomen,Te_median_Abdomen,duty_median_Abdomen,fBirq_Thorax,Tiirq_Thorax,Teirq_Thorax,duty_irq_Thorax,fB_median_Tot,Ti_median_Tot,Te_median_Tot,duty_median_Tot,fBirq_Tot,Tiirq_Tot,Teirq_Tot,duty_irq_Tot,activity
0,,,,,,,,,,,,,,,,,,,,,,,,,cyclette
300,20.0,1.7,1.5,0.5,3.5021551724137936,0.675,0.7,0.19833333333333325,10.00277854959711,2.45,3.6999999999999997,0.3368764172335601,3.749125613737563,2.3781199602741965,2.5427705004938645,0.22567025199881277,9.83606557377049,4.1,2.7,0.41414141414141414,3.6363636363636367,3.3000000000000003,3.7,0.5479270610596342,cyclette
600,20.0,1.6,1.45,0.5156402737047898,3.8983585858585847,0.7749999999999999,0.5999999999999999,0.15410502061605635,18.75,1.7,1.55,0.5322916666666666,4.030257481838861,0.5615359121598201,1.570285442512839,0.14622520060311506,20.344827586206897,1.5,1.45,0.5147186147186147,4.89510489510489,0.6500000000000001,0.6499999999999999,0.14626436781609192,cyclette
900,18.75,1.6,1.55,0.4696691176470588,4.407484407484407,0.5,1.0000000000000004,0.24684987275738868,18.181818181818183,1.7,1.55,0.5303308823529411,5.979524710470617,2.243429025024545,2.018742821818857,0.18549205518881565,19.354838709677423,1.5,1.5,0.5166852057842046,4.243060860707917,0.40000000000000013,0.3999999999999999,0.12274607113316782,lying_left
1200,5.771354933726068,3.3000000000000003,6.9,0.29374652069029505,4.802751178122304,6.249999999999998,15.524999999999999,0.24893290434397802,3.9473684210526314,4.1,9.0,0.4078947368421053,3.0784730079328755,21.72271139789392,12.04483687054728,0.3342639829007625,8.955223880597014,2.5,2.8,0.3731343283582089,4.8702959444647425,3.8999999999999995,5.05,0.5184426229508197,supine
1500,10.344827586206897,2.0,3.5,0.32857142857142857,3.5525210084033603,1.3999999999999997,2.6,0.22262538300274148,9.375,4.1,2.8,0.4583333333333333,4.161450389326514,2.2276829730846863,5.771683752020144,0.24652028315459756,9.375,2.4,4.0,0.3518518518518518,3.8144329896907214,2.7,3.3,0.4591397849462366,supine
1800,10.43557168784029,1.9,3.4,0.33095238095238094,4.023586707410237,1.2,2.4749999999999996,0.22623367198838895,9.600614439324119,3.3,3.15,0.48630952380952386,3.6941019913527677,2.077412736593506,3.451271629714034,0.22228409434465238,9.600614439324117,2.45,3.4,0.3966836734693877,4.4189190958853874,2.4749999999999996,2.9499999999999993,0.43713343108504404,supine
2100,10.169491525423728,2.0,3.5,0.3333333333333333,3.4904092071611252,2.25,2.4,0.24014675052410894,10.16949152542373,2.75,2.55,0.5132404181184669,3.7457182065025485,1.769426765972351,2.122497159668081,0.21520284864645572,19.354838709677423,1.5,1.5,0.5,6.395604395604394,0.75,0.8500000000000001,0.14725146198830402,supine
2400,10.169491525423728,2.0,3.3499999999999996,0.3694915254237288,3.3334398976982094,2.4999999999999996,2.4000000000000004,0.26847222222222233,9.677419354838712,3.2,2.6,0.524390243902439,4.003921970611717,2.2487353404145263,2.1311069501035425,0.2101920546308527,19.05241935483871,1.5,1.5,0.5,6.641025641025639,0.8,0.8999999999999999,0.1385256619810396,supine
2700,10.0,2.0,3.4,0.37864077669902907,4.083333333333332,2.5999999999999996,2.3000000000000003,0.27064009661835753,10.16949152542373,2.7,2.4,0.5260840108401084,3.9629039186846637,2.196141328488191,2.0668826966310045,0.21871212162935708,19.35483870967742,1.5,1.5,0.5,7.333333333333332,0.8,0.8,0.15966386554621848,supine
3000,10.344827586206897,2.0,3.3,0.4,3.928571428571429,2.4,2.4000000000000004,0.3055555555555556,10.16949152542373,2.7,2.3,0.524390243902439,3.9116659325011915,2.128297402068102,2.042639739253377,0.21414169602060315,20.0,1.35,1.5,0.5,8.94409937888199,0.7999999999999999,0.9,0.1698951863354038,supine
3300,10.169491525423728,2.2,3.3,0.42857142857142855,3.928571428571429,2.4,2.3,0.32658670664667666,10.16949152542373,2.6500000000000004,2.25,0.4941860465116279,3.8535734070761256,1.9447396131299388,2.052363175958036,0.21777465734916332,20.68965517241379,1.3,1.4,0.5,10.129870129870131,0.7999999999999999,0.9,0.18897768897768907,supine
3600,10.344827586206897,2.2,3.3,0.4076923076923077,3.928571428571429,2.3,2.3,0.31507775524002707,10.169491525423728,2.8,2.5,0.524390243902439,3.8557028527393378,2.058567699363386,2.039789804738871,0.21223974237929827,20.0,1.4,1.45,0.5,8.94409937888199,0.9,0.9,0.1947635697635698,supine
3900,10.169491525423728,2.3,3.3,0.42857142857142855,4.5,2.3,2.4000000000000004,0.31507775524002707,9.677419354838712,2.7,2.6,0.48837209302325574,3.8094482738497097,2.026827087249954,2.1286325272347524,0.21383930782565452,20.0,1.4,1.5,0.5,8.94409937888199,0.9,0.9,0.19459706959706963,supine
